minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,p_scoreless_after,p_btts_after,expected_home_goals_after,expected_away_goals_after
11,1.0,0.10297833333333334,0.08959166666666667,0.011711666666666667,0.008835,0.12551,0.12625666666666666,0.010425,0.010453333333333334,0.037858333333333334,0.03436666666666666,0.09764833333333334,0.8271533333333333,0.07519833333333334,0.8187166666666666,0.009351666666666666,0.1124,0.08775333333333334
12,1.0,0.09951,0.086505,0.011285,0.00874,0.12879666666666667,0.12794333333333333,0.01213,0.012045,0.036505,0.03344833333333333,0.10604,0.8125116666666666,0.08144833333333333,0.80255,0.011156666666666667,0.123685,0.09649333333333333
13,1.0,0.10444166666666667,0.09090666666666666,0.011871666666666668,0.009191666666666667,0.12158333333333333,0.12119833333333334,0.012536666666666666,0.012701666666666667,0.03595333333333333,0.032106666666666665,0.11454,0.7976266666666667,0.08783333333333333,0.7859483333333334,0.01323,0.13555666666666666,0.105685
14,1.0,0.10163833333333333,0.08900166666666667,0.011373333333333333,0.008896666666666667,0.12081333333333333,0.12124,0.011336666666666667,0.011398333333333333,0.036421666666666665,0.032898333333333335,0.12242,0.7838516666666666,0.09372833333333333,0.7702933333333334,0.015481666666666666,0.14693,0.11458166666666666
15,1.0,0.097045,0.08496,0.01042,0.008258333333333333,0.11941833333333333,0.11975833333333333,0.011456666666666667,0.011625,0.03587833333333333,0.03229833333333333,0.129505,0.7714033333333333,0.09909166666666666,0.7561266666666666,0.01762,0.15735,0.12284
16,1.0,0.09624333333333333,0.08370666666666667,0.01058,0.00821,0.12455166666666667,0.12531833333333334,0.012106666666666667,0.0124,0.03464833333333334,0.0307,0.13638833333333333,0.7594933333333334,0.10411833333333333,0.7422433333333334,0.019995,0.16793,0.13105
17,1.0,0.08848833333333334,0.07732,0.009018333333333333,0.006756666666666667,0.1352,0.13611333333333334,0.013016666666666666,0.013536666666666667,0.03321,0.030133333333333335,0.14215,0.7496833333333334,0.10816666666666666,0.73082,0.022003333333333333,0.17694833333333335,0.13780666666666666
18,1.0,0.08801333333333333,0.077205,0.009535,0.0072633333333333334,0.13114333333333333,0.13181333333333334,0.012978333333333333,0.013476666666666666,0.032425,0.02873,0.14817,0.739365,0.112465,0.7187833333333333,0.024206666666666668,0.18648333333333333,0.14507
19,1.0,0.093925,0.08202333333333334,0.010271666666666667,0.007958333333333333,0.1299,0.13056,0.011361666666666667,0.011723333333333334,0.03580833333333333,0.03197166666666667,0.15445,0.7284666666666667,0.11708333333333333,0.7059366666666667,0.026735,0.196755,0.15302833333333332
20,1.0,0.09470666666666666,0.08296333333333333,0.010121666666666666,0.007853333333333334,0.13337166666666667,0.134035,0.012695,0.012631666666666666,0.037255,0.033411666666666666,0.160495,0.7180066666666667,0.12149833333333333,0.6934283333333333,0.029381666666666667,0.20687666666666665,0.16088166666666667
21,1.0,0.09345,0.08209333333333334,0.010333333333333333,0.008103333333333334,0.13135,0.130745,0.013268333333333333,0.013341666666666667,0.0379,0.0344,0.16636166666666666,0.7079233333333333,0.125715,0.6812016666666667,0.03229,0.21721,0.168985
22,1.0,0.09463666666666666,0.08247,0.010315,0.007845,0.132685,0.13284666666666667,0.01422,0.014293333333333333,0.03746833333333333,0.033535,0.172305,0.6978066666666667,0.12988833333333333,0.669145,0.03503333333333333,0.227525,0.17683
23,1.0,0.09456333333333333,0.08287,0.01065,0.008521666666666667,0.12826166666666666,0.12916166666666667,0.013523333333333333,0.013205,0.038628333333333334,0.034305,0.17819166666666666,0.687545,0.13426333333333335,0.6568133333333334,0.03803666666666667,0.238175,0.18535166666666666
24,1.0,0.09872666666666667,0.08662166666666667,0.011153333333333333,0.008553333333333333,0.12296333333333333,0.123605,0.013628333333333333,0.013676666666666667,0.039106666666666665,0.034955,0.184155,0.6773733333333334,0.13847166666666666,0.64426,0.041285,0.24932833333333335,0.193905
25,1.0,0.09625833333333333,0.08417833333333333,0.010473333333333333,0.008075,0.128,0.12799333333333332,0.015105,0.0148,0.03909666666666667,0.03532,0.18953333333333333,0.66817,0.14229666666666665,0.6328166666666667,0.044478333333333335,0.25980166666666665,0.20198
