team,player,role,squad_status,p_appearance,expected_minutes,p_substituted,tournament_minutes,tournament_attempts,tournament_goals,tournament_assists,expected_shots,expected_goals,p_anytime_goal_90m,p_first_goal,p_assist_90m,p_yellow_90m,expected_sot,conditional_goal_lambda,conditional_shot_lambda,conditional_sot_lambda,conditional_assist_lambda,conditional_save_lambda,expected_saves
Argentina,Gonzalo Montiel,DEF,bench,0.52,9.36,0.0,131.0,1.0,0.0,,0.03531446914153756,0.0024669089024146533,0.002463868583225559,0.0009849489483266523,0.0024049854263473724,0.01593118654068304,0.010771337423528201,0.004744055581566641,0.067912440656803,0.020714110429861925,0.004630542401833171,0.0,0.0
Argentina,Exequiel Palacios,MID,bench,0.12,2.88,0.0,90.0,0.0,0.0,,0.016468435901961585,0.0012654513952857296,0.0012646510493040664,0.0005052497154334199,0.0024138346549453793,0.0029604311631238334,0.006418368286974328,0.010545428294047747,0.13723696584967987,0.053486402391452734,0.020139605420563915,0.0,0.0
Argentina,Facundo Medina,DEF,bench,0.22000000000000003,3.9600000000000004,0.0,258.0,0.0,0.0,,0.005025128900221843,0.0003861360250683512,0.0003860614841479926,0.00015417037549697856,0.0015185189460814597,0.0067713539005677115,0.0015327246960466694,0.001755163750310687,0.022841495001008374,0.006966930436575769,0.006907604838597031,0.0,0.0
Argentina,Emiliano Martínez,GK,starter,1.0,94.46799999999999,0.02,690.0,0.0,0.0,,0.0026823106944594954,0.0002061114869135385,0.00020609024740025905,8.22929829613178e-05,0.019204703689681746,0.05259435615296881,0.00017044520670930215,0.0002061114869135385,0.0026823106944594954,0.00017044520670930215,0.019391509580125546,2.7737766666666666,2.7737766666666666
Argentina,Juan Musso,MID,bench,0.0036,0.0864,0.0,0.0,0.0,0.0,,0.0007410796155882714,5.694531278785784e-05,5.694369143427469e-05,2.27362371945039e-05,3.860619784967767e-06,8.894070175924362e-05,0.00028882657291384473,0.002847265639392892,0.03705398077941357,0.014441328645692236,0.00019303136185897548,0.0,0.0
Spain,Mikel Oyarzabal,FWD,starter,1.0,90.16,0.1819548872180452,544.0,22.0,5.0,,1.9038991241334138,0.36845732305745804,0.3081992670917415,0.1508416382865185,0.017922423759111572,0.08424069807972512,0.7758853545205636,0.36845732305745804,1.9038991241334138,0.7758853545205636,0.018084975539221303,0.0,0.0
Spain,Fabián Ruiz,MID,starter,1.0,92.57333333333332,0.09122807017543866,259.0,8.0,1.0,,1.2678504133306343,0.15016828050911113,0.1394368517651885,0.06147694192288165,0.09051662379251402,0.15010554455505143,0.43213234956539454,0.15016828050911113,1.2678504133306343,0.43213234956539454,0.09487855913769322,0.0,0.0
Spain,Lamine Yamal,FWD,starter,1.0,91.73333333333333,0.1228070175438597,500.0,23.0,1.0,,2.1397122205349737,0.1382369437981417,0.12910768523594163,0.056592407775218484,0.09627068665378458,0.08564592323186682,0.8719849459237557,0.1382369437981417,2.1397122205349737,0.8719849459237557,0.10122539556785676,0.0,0.0
Spain,Álex Baena,FWD,starter,1.0,88.79333333333334,0.2333333333333334,437.0,11.0,1.0,,1.2937554256280386,0.13134561726783847,0.12308535483307625,0.05377118827774039,0.05154152791529765,0.08301830497185114,0.5272369078551942,0.13134561726783847,1.2937554256280386,0.5272369078551942,0.0529172732912293,0.0,0.0
Spain,Pedro Porro,DEF,starter,1.0,93.264,0.06526315789473691,444.0,7.0,2.0,,0.6761045761871823,0.1251670595026297,0.11765051459495945,0.05124176704703073,0.07804497771944596,0.2389789383502593,0.18034632915336105,0.1251670595026297,0.6761045761871823,0.18034632915336105,0.0812588393914333,0.0,0.0
Spain,Dani Olmo,MID,starter,1.0,91.92,0.11578947368421055,420.0,11.0,0.0,,1.1842676598314166,0.0629776805755508,0.0610355693990714,0.025782243747180834,0.07790465451161332,0.14912943435827053,0.4036441215591597,0.0629776805755508,1.1842676598314166,0.4036441215591597,0.08110664917954309,0.0,0.0
Spain,Mikel Merino,MID,bench,0.7,16.799999999999997,0.0,148.0,4.0,2.0,,0.19063653273022654,0.04285516686244782,0.041949862573483765,0.017544348216321608,0.0109520359793851,0.029084758815700384,0.06497628737234133,0.06122166694635404,0.27233790390032364,0.09282326767477334,0.01573207291764573,0.0,0.0
