fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891670,England vs. Argentina: O/U 7.5,totals,totals,Total over 7.5,Over,Under,72504904419634050823484674959278299900916684760331125421711217495335287282577,69167743182559955031777936262258301157078752234386923417630340694219948449331,252899.68414,31157.715607,0.004,0.005,0.05,0.001,0.005,0.004,0.001,56.675450000000005,57.55545000000001,0.996,0.995,0.0010000000000000009,68705.04085,68705.04085
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891671,England vs. Argentina: O/U 8.5,totals,totals,Total over 8.5,Over,Under,86250835501759404807781332110846029111899850165344745523986800539566241332418,85270617877003251433149398477915858003664622815015811137365932861229406631583,306953.25152,49110.50154000012,0.001,0.002,0.05,0.001,0.002,0.001,0.001,54.26471,609.69671,0.999,0.998,0.0010000000000000009,104423.53194,104423.53194
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891672,England vs. Argentina: Both Teams to Score,both_teams_to_score,btts,Both teams to score,Yes,No,59458073578322831545784967048379645202850050992392426394980623102028749472257,21100333839007645025394718381927656685104808547086827793277009445033323188735,1061578.3718,3172070.705129886,0.52,0.53,0.05,0.01,0.53,0.52,0.010000000000000009,494505.02190000005,558739.5934000001,0.48,0.47,0.010000000000000009,206944.7527,244982.10270000002
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891673,England vs. Argentina: Both Teams to Score in First Half,both_teams_to_score_first_half,btts,Both teams to score first half,Yes,No,94188026789518451015803544585218335301378391594213219307403510079534653955728,82859006948686634631347732743325288620870719479911899350541737843841699175,384442.419,81690.37346300004,0.18,0.19,0.05,0.01,0.19,0.18,0.010000000000000009,55895.6611,58222.4611,0.82,0.81,0.009999999999999898,88810.5226,89682.85419999999
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891674,England vs. Argentina: 1st Half O/U 0.5,first_half_totals,half_total,First half over 0.5,Over,Under,71747268641455118950006230479516786261146405971548224576601893915475061691279,77456328982896654227747737538290801718729195544464349863216139074807112606668,1035159.8731,36607.19436699998,0.62,0.63,0.05,0.01,0.63,0.62,0.010000000000000009,640256.4336,653891.6266,0.38,0.37,0.010000000000000009,227510.6771,238471.8411
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891675,England vs. Argentina: 1st Half O/U 1.5,first_half_totals,half_total,First half over 1.5,Over,Under,45582267922963887287115344486038000743102200213559540316946252804734094703649,33458165112468583186067662753755773253007648791087726723225592617524103226370,380998.3294,66684.70507400001,0.25,0.26,0.05,0.01,0.26,0.25,0.010000000000000009,17577.0223,25613.853900000002,0.75,0.74,0.010000000000000009,201628.1131,214730.7642
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891676,England vs. Argentina: 1st Half O/U 2.5,first_half_totals,half_total,First half over 2.5,Over,Under,59213890271801547041610514378867030181488897318780120967799104475161184767086,89383851119498667234024971237951093390638387563287213908274287751220582926763,309310.2094,11943.484382999997,0.07,0.08,0.05,0.01,0.08,0.07,0.009999999999999995,4542.1445,6226.9025,0.93,0.92,0.010000000000000009,60495.806,110151.75499999999
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891677,England vs. Argentina: England O/U 0.5,soccer_team_totals,team_total,England over 0.5,Over,Under,16561062452486418891364938006667157273051610006355229886676242467868988522858,6575744915807422397679285810474176107042510157975732905983960402970939439933,423292.1359,54871.55172400007,0.71,0.72,0.05,0.01,0.72,0.71,0.010000000000000009,225685.6049,238797.7611,0.29,0.28,0.009999999999999953,21323.9004,32899.1702
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891678,England vs. Argentina: England O/U 1.5,soccer_team_totals,team_total,England over 1.5,Over,Under,113283124378443256821772147757556043305824664018352778118580498349110707543149,42368330121820885588083306824757110822099240783661588735222251195712333152963,630794.7196,128531.93082199983,0.33,0.34,0.05,0.01,0.34,0.33,0.010000000000000009,145165.7149,156040.13049999997,0.67,0.66,0.010000000000000009,29852.103200000005,44945.2736
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18494844.51012,18187960.36719714,2891679,England vs. Argentina: England O/U 2.5,soccer_team_totals,team_total,England over 2.5,Over,Under,84608365842033111114630681642153846164641547535108350390414416304005557771169,95106893484257892237890576345940915444674783960716120820840771192494505433466,315987.1738,11545.082318000006,0.11,0.12,0.05,0.01,0.12,0.11,0.009999999999999995,3032.0656,6604.2748,0.89,0.88,0.010000000000000009,142154.334,161418.9976
