fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_ask_depth_at_best,yes_bid_depth_1c,yes_bid_depth_2c,yes_bid_depth_at_best,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_ask_depth_at_best,no_bid_depth_1c,no_bid_depth_2c,no_bid_depth_at_best
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891672,England vs. Argentina: Both Teams to Score,both_teams_to_score,btts,Both teams to score,Yes,No,59458073578322831545784967048379645202850050992392426394980623102028749472257,21100333839007645025394718381927656685104808547086827793277009445033323188735,1050456.2968,3228436.6973608844,0.52,0.53,0.05,0.01,0.53,0.52,0.010000000000000009,456271.7451,508400.8166,44993.32710000001,224428.05850000004,257462.40850000002,143970.62680000003,0.48,0.47,0.010000000000000009,210688.20150000002,243722.5515,132895.9632,390248.0249,432899.0834,39899.7429
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891673,England vs. Argentina: Both Teams to Score in First Half,both_teams_to_score_first_half,btts,Both teams to score first half,Yes,No,94188026789518451015803544585218335301378391594213219307403510079534653955728,82859006948686634631347732743325288620870719479911899350541737843841699175,388627.9363,86660.27345500003,0.18,0.19,0.05,0.01,0.19,0.18,0.010000000000000009,55704.4418,58031.2418,2296.0398,18828.049,18997.9258,2876.0922,0.82,0.81,0.009999999999999898,90985.28099999999,91877.1342,13102.1978,223421.98820000002,232175.1882,9788.380200000001
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891674,England vs. Argentina: 1st Half O/U 0.5,first_half_totals,half_total,First half over 0.5,Over,Under,71747268641455118950006230479516786261146405971548224576601893915475061691279,77456328982896654227747737538290801718729195544464349863216139074807112606668,951791.5603,36619.81340699997,0.62,0.63,0.05,0.01,0.63,0.62,0.010000000000000009,723725.9093,730732.9483,71155.7973,311000.36789999995,321592.1139,19061.6086,0.38,0.37,0.010000000000000009,198332.2921,205393.4561,11682.9214,408860.6007,412633.6217,41789.9127
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891675,England vs. Argentina: 1st Half O/U 1.5,first_half_totals,half_total,First half over 1.5,Over,Under,45582267922963887287115344486038000743102200213559540316946252804734094703649,33458165112468583186067662753755773253007648791087726723225592617524103226370,476186.2306,66855.83121999998,0.25,0.26,0.05,0.01,0.26,0.25,0.010000000000000009,21567.4007,29576.232300000003,12902.3258,66175.5669,70032.3058,3152.8125,0.75,0.74,0.010000000000000009,209030.4931,221942.1842,9458.4375,60149.7993,80743.93770000001,36722.0042
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891676,England vs. Argentina: 1st Half O/U 2.5,first_half_totals,half_total,First half over 2.5,Over,Under,59213890271801547041610514378867030181488897318780120967799104475161184767086,89383851119498667234024971237951093390638387563287213908274287751220582926763,257684.2234,13234.154382999997,0.07,0.08,0.05,0.01,0.08,0.07,0.009999999999999995,5406.4205,7105.2705000000005,3843.152,3895.6672,6474.0382,299.1772,0.93,0.92,0.010000000000000009,50919.792799999996,90408.8418,3974.7828000000004,50902.62950000001,57192.279500000004,44196.24800000001
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891677,England vs. Argentina: England O/U 0.5,soccer_team_totals,team_total,England over 0.5,Over,Under,16561062452486418891364938006667157273051610006355229886676242467868988522858,6575744915807422397679285810474176107042510157975732905983960402970939439933,407251.6766,54905.426715000074,0.71,0.72,0.05,0.01,0.72,0.71,0.010000000000000009,216966.4393,222674.89549999998,67054.44959999999,50680.610199999996,69199.9204,29288.2952,0.29,0.28,0.009999999999999953,21130.9598,29451.2296,11962.8248,81523.63070000001,83529.30450000001,26076.7304
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891678,England vs. Argentina: England O/U 1.5,soccer_team_totals,team_total,England over 1.5,Over,Under,113283124378443256821772147757556043305824664018352778118580498349110707543149,42368330121820885588083306824757110822099240783661588735222251195712333152963,570885.4587,130537.47257799984,0.33,0.34,0.05,0.01,0.34,0.33,0.010000000000000009,143306.83239999998,154181.248,32260.155400000003,13895.646799999999,21231.629399999998,3884.9844000000003,0.67,0.66,0.010000000000000009,29160.353200000005,45488.8306,7887.695600000001,262352.19759999996,275284.49199999997,62622.6546
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891679,England vs. Argentina: England O/U 2.5,soccer_team_totals,team_total,England over 2.5,Over,Under,84608365842033111114630681642153846164641547535108350390414416304005557771169,95106893484257892237890576345940915444674783960716120820840771192494505433466,330120.2618,11579.082314000007,0.11,0.12,0.05,0.01,0.12,0.11,0.009999999999999995,1626.1176,9095.2268,17.3676,14444.8564,15292.6528,2949.2694,0.89,0.88,0.010000000000000009,127322.5536,135894.71719999998,23862.2706,10893.6124,56775.2832,127.3624
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891680,England vs. Argentina: Argentina O/U 0.5,soccer_team_totals,team_total,Argentina over 0.5,Over,Under,92832255069103059256064674256039412537235727944896260614333278413807323563015,15910911080096650316628657283649337046819367241396715641251116515633003080809,473792.4244,43504.574864999944,0.69,0.7,0.05,0.01,0.7,0.69,0.010000000000000009,358929.82039999997,364231.1516,79117.01699999999,32898.5419,53945.0174,9200.4807,0.31,0.3,0.010000000000000009,15285.578099999999,25651.7526,4133.549300000001,148197.02959999998,150258.6584,33907.293
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891681,England vs. Argentina: Argentina O/U 1.5,soccer_team_totals,team_total,Argentina over 1.5,Over,Under,82272585945602053476684781557820061190730220616293790468940586641792211779572,666658610028547354079473579294582556780948270660038221280898246467377920108,331065.4385,150311.040147,0.3,0.31,0.05,0.01,0.31,0.3,0.010000000000000009,26555.4656,30167.903,3464.2624,15877.1066,21701.2942,2482.314,0.7,0.69,0.010000000000000009,38586.2134,53562.6958,5792.065999999999,56779.5844,64113.926999999996,7710.7776
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891682,England vs. Argentina: Argentina O/U 2.5,soccer_team_totals,team_total,Argentina over 2.5,Over,Under,96515394093226273524445691436239733674306366264722940082296189518851530307900,104372578611365800442704879713850660281434575256932641173775605147788681253230,366425.1721,19947.313656000002,0.09,0.1,0.05,0.01,0.1,0.09,0.010000000000000009,4555.1542,5832.505,5.0680000000000005,6747.681500000001,7178.2942,2750.4638999999997,0.91,0.9,0.010000000000000009,74244.1685,89265.1658,28276.1661,46220.7458,63937.424999999996,506.412
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891683,England vs. Argentina: England 1st Half O/U 0.5,soccer_first_half_team_totals,half_team,England first half over 0.5,Over,Under,77526126263108804808391760486193942126967192161266297971339673952632122113911,84092266742673947145635285759305834518506864534282492898063166624458439173743,277416.6711,25918.15186200001,0.4,0.41,0.05,0.01,0.41,0.4,0.009999999999999953,63717.5401,67676.95,37957.5499,369.88000000000005,8855.314199999999,97.66000000000001,0.6,0.59,0.010000000000000009,572.27,14416.9258,146.49,90195.1599,95443.68,54621.840099999994
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891684,England vs. Argentina: England 1st Half O/U 1.5,soccer_first_half_team_totals,half_team,England first half over 1.5,Over,Under,27487523557706224190047425514329630296618615730601947451759944634052167672666,112992508611138908885407045065833841013441702733642198784488424112576796759473,99039.8331,10400.916310999999,0.07,0.09,0.05,0.01,0.09,0.07,0.01999999999999999,22.6452,57.0213,19.6452,191.55330000000004,2560.2798000000003,109.35330000000002,0.93,0.91,0.020000000000000018,2740.6367,47746.4402,1452.8367,225.6348,503.76869999999997,198.6348
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891685,England vs. Argentina: Argentina 1st Half O/U 0.5,soccer_first_half_team_totals,half_team,Argentina first half over 0.5,Over,Under,45490818678589671823287925735784623487595733771184512208411495396896436718407,5621931345114947208087292752677791074964958704918484917797043110732213131571,142458.4975,2023.4903409999997,0.37,0.38,0.05,0.01,0.38,0.37,0.010000000000000009,11142.5926,15852.924600000002,2467.8226000000004,2520.9686,7579.7566,1384.0886,0.63,0.62,0.010000000000000009,4377.8114000000005,13772.7034,2356.6914,17594.6774,24660.1754,4026.4474
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891686,England vs. Argentina: Argentina 1st Half O/U 1.5,soccer_first_half_team_totals,half_team,Argentina first half over 1.5,Over,Under,110327662349011550453242537232970940835356475217481393814354165672414520272258,13858566148311352342843254940392269005458969291822285808833141685115706665101,129099.6427,5999.7456619999975,0.07,0.09,0.05,0.01,0.09,0.07,0.01999999999999999,80.51100000000001,268.677,40.545,71.10810000000001,123.9351,48.398700000000005,0.93,0.91,0.020000000000000018,998.7918999999999,2002.5049,643.0113,769.6490000000001,2292.083,409.95500000000004
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18187048.49035,18339942.091864165,2891687,England vs. Argentina: Both Teams to Score in Second Half,both_teams_to_score_second_half,btts,Both teams to score second half,Yes,No,10164417472019520172498547784804753830625748915674119594974626361456374226791,35436364394090023456535502839525198644548789356594940931009438134007572106731,395317.8184,47117.825989,0.24,0.25,0.05,0.01,0.25,0.24,0.010000000000000009,88806.589,89392.759,15071.72,8161.5402,8977.3002,2740.5552,0.76,0.75,0.010000000000000009,26826.9398,29719.179799999998,8678.424799999999,255075.94100000002,256660.771,45215.159999999996
