fixture_id,home,away,kickoff_beijing,hours_to_kickoff,early_regime,group,contract,side,model_probability,conservative_probability,ask,bid,spread,fee_per_share,depth_within_1c_usd,market_volume,liquidity_grade,central_net_edge,robust_edge,max_entry_for_5pp,recommended_amount_10k,decision
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 0-0 Argentina,YES,0.11608,0.082788,0.12,0.11,0.01,0.00528,235096.86,623263.58,A,-0.0092,-0.057492,0.0169,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 0-1 Argentina,NO,0.90921,0.88166,0.9,0.89,0.01,0.0045,109841.5,72192.96,A,0.00471,-0.03784,0.8089,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 1-0 Argentina,NO,0.904985,0.876517,0.9,0.89,0.01,0.0045,184864.38,216692.96,A,0.000485,-0.042983,0.8036,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 0-2 Argentina,YES,0.06218,0.043508,0.06,0.05,0.01,0.00282,116836.79,174634.56,A,-0.00064,-0.034312,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 1-1 Argentina,NO,0.848478,0.84393,0.84,0.83,0.01,0.00672,229809.22,230504.08,A,0.001758,-0.01779,0.77,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 2-0 Argentina,YES,0.069798,0.049847,0.07,0.06,0.01,0.003255,104451.09,224440.91,A,-0.003457,-0.038408,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 0-3 Argentina,YES,0.023552,0.013764,0.015,0.014,0.001,0.000739,4991.72,637491.67,B,0.007813,-0.016974,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 1-2 Argentina,NO,0.925142,0.912969,0.93,0.92,0.01,0.003255,1297713.2,863544.57,A,-0.008113,-0.035286,0.8412,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 2-1 Argentina,NO,0.920689,0.908981,0.92,0.91,0.01,0.00368,840756.92,1269638.82,A,-0.002991,-0.029699,0.8371,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 3-0 Argentina,YES,0.02801,0.016893,0.02,0.019,0.001,0.00098,7076.87,986049.91,B,0.00703,-0.019087,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 1-3 Argentina,NO,0.971646,0.958255,0.97,0.969,0.001,0.001455,139631.07,846448.71,A,0.000191,-0.0282,0.8882,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 2-2 Argentina,NO,0.95494,0.944481,0.95,0.94,0.01,0.002375,151013.79,703574.82,A,0.002565,-0.022894,0.8739,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 3-1 Argentina,NO,0.968173,0.953942,0.962,0.961,0.001,0.001828,213533.38,966118.59,A,0.004345,-0.024886,0.8838,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 2-3 Argentina,NO,0.982933,0.974863,0.98,0.979,0.001,0.00098,78840.55,1836567.19,A,0.001953,-0.021117,0.9055,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 3-2 Argentina,NO,0.981918,0.973368,0.979,0.978,0.001,0.001028,104225.68,1968995.43,A,0.00189,-0.02166,0.904,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,England 3-3 Argentina,NO,0.993151,0.988576,0.99,0.989,0.001,0.000495,168061.58,2423237.96,A,0.002656,-0.016919,0.9198,0.0,LIMIT_WATCH
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,exact_score,Any Other Score,YES,0.061645,0.035643,0.051,0.05,0.001,0.00242,41565.14,118861.61,A,0.008225,-0.032777,0.0,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,first_score,England to score first,NO,0.545706,0.478206,0.54,0.53,0.01,0.01242,25097.12,31767.21,A,-0.006714,-0.114214,0.3764,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,first_score,Argentina to score first,YES,0.429626,0.361774,0.43,0.42,0.01,0.012255,18731.32,36166.16,A,-0.012629,-0.120481,0.2621,0.0,PASS
fifwc-eng-arg-2026-07-15,England,Argentina,2026-07-16T03:00:00+08:00,3.65,False,first_score,Neither team to score first,YES,0.11608,0.082788,0.11,0.1,0.01,0.004895,6377.92,57321.46,B,0.001185,-0.072107,0.0,0.0,PASS
