minute,p_england_shot,p_argentina_shot,p_england_sot,p_argentina_sot,p_england_goal,p_argentina_goal,p_england_foul,p_argentina_foul,p_england_yellow,p_argentina_yellow,p_england_red,p_argentina_red,p_england_penalty,p_argentina_penalty,p_england_corner,p_argentina_corner,p_var_review,p_any_injury_stoppage,p_any_substitution,expected_england_possession,p_england_leading_after,p_draw_after,p_argentina_leading_after,expected_england_goals_after,expected_argentina_goals_after,modal_score_after,expected_england_passes,p_any_england_passes,expected_england_line_breaks,p_any_england_line_breaks,expected_england_final_third_receptions,p_any_england_final_third_receptions,expected_england_crosses,p_any_england_crosses,expected_england_throw_ins,p_any_england_throw_ins,expected_england_pressures,p_any_england_pressures,expected_england_direct_pressures,p_any_england_direct_pressures,expected_england_forced_turnovers,p_any_england_forced_turnovers,expected_england_regains,p_any_england_regains,expected_england_interceptions,p_any_england_interceptions,expected_england_tackles,p_any_england_tackles,expected_argentina_passes,p_any_argentina_passes,expected_argentina_line_breaks,p_any_argentina_line_breaks,expected_argentina_final_third_receptions,p_any_argentina_final_third_receptions,expected_argentina_crosses,p_any_argentina_crosses,expected_argentina_throw_ins,p_any_argentina_throw_ins,expected_argentina_pressures,p_any_argentina_pressures,expected_argentina_direct_pressures,p_any_argentina_direct_pressures,expected_argentina_forced_turnovers,p_any_argentina_forced_turnovers,expected_argentina_regains,p_any_argentina_regains,expected_argentina_interceptions,p_any_argentina_interceptions,expected_argentina_tackles,p_any_argentina_tackles
11,0.104764,0.127032,0.045204,0.05424,0.009512,0.012308,0.109588,0.13352,0.008896,0.01082,7.6e-05,0.0001,0.002184,0.002656,0.040564,0.053588,0.006188,0.040588,0.040588,0.4920389119606928,0.078208,0.819332,0.10246,0.092184,0.118948,0-0,4.790074909168587,0.9916881652740267,0.9277409913108525,0.6045539818823209,1.4036747626756203,0.7543075584070444,0.22369505733278539,0.20044108317366804,0.16411556010078734,0.15135605316649392,2.369621813152379,0.9064839138548603,0.4292865734029172,0.3490266492002385,0.353745374424245,0.2979462945722584,0.4076530721444515,0.3347903814584795,0.07272661807381678,0.07014499916744399,0.2332973758716122,0.2080819588125108,6.123970082498487,0.9978102547858629,1.0258881081475029,0.6415220432022908,1.6533484165117562,0.8085920790434806,0.12835603980209057,0.12045982791793663,0.1434102554962146,0.13360144879361235,2.236195196094032,0.8931356703342224,0.39413283286180467,0.32573551418963587,0.40685441722894256,0.3342588963184283,0.4008057167674261,0.33021982454439813,0.06877243150268222,0.06646090000258187,0.31890244307403603,0.27305353549043465
12,0.101712,0.124328,0.043928,0.05318,0.00914,0.011984,0.11074,0.135748,0.010396,0.012368,8.8e-05,7.6e-05,0.002212,0.002716,0.038692,0.051548,0.006076,0.03754,0.03754,0.49212417196069286,0.084508,0.804272,0.11122,0.101336,0.130948,0-0,4.650053642031999,0.9904389109594569,0.9006216932536856,0.5936830233201992,1.3626431874613603,0.7440167298107718,0.21715610627797508,0.19519567550931005,0.15931820951277084,0.14727502940518022,2.3668121886088356,0.9062207993105553,0.42877757484198564,0.3486952203602308,0.35332594391401295,0.2976517700664165,0.40716972409693153,0.334468775970735,0.0726403872288883,0.0700648135278732,0.2330207587213332,0.20786287040029383,5.944957005016819,0.9973809850495536,0.9958998187017114,0.6306090898930132,1.6050184958553735,0.79911416067956,0.1246039950682343,0.11715355508403758,0.13921815285153027,0.12996179356177784,2.2335437734610077,0.8928519518693165,0.39366551555636864,0.32542034509072437,0.4063720161344089,0.33393766460630103,0.4003304875250331,0.32990144977453806,0.06869088907663068,0.06638477385584096,0.318524325297569,0.27277861213623567
13,0.106884,0.128676,0.04612,0.056132,0.009872,0.012624,0.104504,0.129492,0.010436,0.013552,5.6e-05,8.8e-05,0.00258,0.003216,0.037568,0.049952,0.00682,0.039256,0.039256,0.4922046719606928,0.091052,0.788948,0.12,0.111236,0.143596,0-0,4.870087061818066,0.9923273027401569,0.943237733057805,0.610634868045973,1.4271213770837687,0.7600012051434437,0.227431600792677,0.20342309513697443,0.16685690329393965,0.1536792916216726,2.35908572111409,0.9054934109119869,0.42737782879942376,0.34778292072748307,0.3521725100108749,0.29684119042104695,0.4058405169662514,0.33358355893399916,0.07240325240533492,0.06984426736295857,0.23226006155806586,0.20726006468565839,6.22626326963087,0.9980231750256251,1.0430242735450979,0.6476126469245032,1.6809655140296893,0.8138058838066503,0.13050006536429415,0.12234356441865679,0.14580574272174854,0.13567441158602067,2.2262523612201908,0.8920678360978662,0.39238039296641936,0.3245528702511131,0.4050454131244412,0.33305347795467644,0.39902360710845225,0.32902513860984284,0.06846664740498891,0.06617539494199876,0.3174845014122848,0.2720220366828011
14,0.103692,0.12684,0.044924,0.054012,0.009392,0.012064,0.105084,0.129312,0.01002,0.012,6.8e-05,7.2e-05,0.002216,0.00286,0.03802,0.049612,0.006184,0.042404,0.042404,0.49227691196069284,0.097212,0.774572,0.128216,0.120644,0.155676,0-0,4.750068832843847,0.991348900297169,0.9199926204373762,0.601478018008414,1.391951455471546,0.7514102807811273,0.22182678560283955,0.19894589357761439,0.1627448885042112,0.15019204345767934,2.3633001579294057,0.9058908648497948,0.42814132664082116,0.34828069700989095,0.3528016557762229,0.297283440673936,0.40656553903753145,0.33406655045152334,0.07253259867272767,0.06996457175443938,0.2326749872834844,0.20758892464743972,6.072823488932296,0.9976953431576028,1.0173200254487051,0.6384373784623953,1.6395398677527897,0.8059306806982942,0.12728402702098876,0.11951644404253181,0.14221251188344766,0.1325631037513566,2.230229495169727,0.8924962442880907,0.39308136892457346,0.3250261765425251,0.4057690147662417,0.33353590698875113,0.39973645097204175,0.3295032684861867,0.06858896104406624,0.06628960744268764,0.31805167807698526,0.2724348117267591
15,0.099316,0.120652,0.042332,0.051548,0.008612,0.011512,0.103436,0.127584,0.00976,0.011976,7.6e-05,0.0001,0.001648,0.002172,0.037828,0.049644,0.004928,0.041596,0.041596,0.49235447196069276,0.102708,0.761412,0.13588,0.129272,0.167204,0-0,4.55003845122015,0.9894332019302378,0.8812507660699948,0.5857355603995278,1.3333349194511745,0.7364032799800653,0.21248542695311054,0.1914279004052859,0.15589153052133042,0.1443480025363535,2.3668121886088356,0.9062207993105553,0.42877757484198564,0.3486952203602308,0.35332594391401295,0.2976517700664165,0.40716972409693153,0.334468775970735,0.0726403872288883,0.0700648135278732,0.2330207587213332,0.20786287040029383,5.81709052110134,0.9970237480979915,0.9744796119547174,0.6226113089638707,1.570497123957957,0.7920582161843912,0.1219239631154798,0.11478432501423863,0.13622379381961286,0.12735268244197395,2.2335437734610077,0.8928519518693165,0.39366551555636864,0.32542034509072437,0.4063720161344089,0.33393766460630103,0.4003304875250331,0.32990144977453806,0.06869088907663068,0.06638477385584096,0.318524325297569,0.27277861213623567
16,0.098772,0.119632,0.04228,0.05074,0.00872,0.010936,0.107732,0.133356,0.010084,0.012884,9.6e-05,6.8e-05,0.001756,0.001972,0.036328,0.047764,0.004996,0.03936,0.03936,0.4924058519606928,0.1081,0.749104,0.142796,0.137992,0.178144,0-0,4.4900293367330395,0.9887796853626144,0.8696282097597801,0.5808926596962232,1.315749958645063,0.7317269459192479,0.20968301935819178,0.1891587737885565,0.15383552312646617,0.14258696597038634,2.419492648800282,0.911033256604934,0.43832129785945284,0.3548815256297172,0.3611902659808635,0.3031536003109936,0.4162324999879321,0.34047308734200044,0.07425721557129765,0.0715671442612359,0.23820733028906507,0.2119607102584058,5.740370630752052,0.9967864229959021,0.961627487906521,0.6177297607538601,1.549784300819507,0.7877062395213471,0.12031594394382708,0.11335973616168704,0.13442717840046237,0.12578346159468146,2.2832579478302155,0.8980484876490807,0.4024277150332955,0.33130532624857467,0.4154170366569158,0.33993504798304097,0.40924103581990257,0.3358458719072417,0.07021980956509727,0.06781110665087087,0.3256140336063254,0.2779161662525579
17,0.089072,0.110076,0.037348,0.046116,0.007244,0.009984,0.118464,0.14348,0.011552,0.013392,7.6e-05,9.2e-05,0.000692,0.000944,0.035112,0.045248,0.002876,0.038276,0.038276,0.49248509196069284,0.11226,0.738552,0.149188,0.145236,0.188132,0-0,4.149977687972753,0.9842352317751314,0.8037670573352316,0.5523604997015605,1.2161018474104315,0.7036167348199631,0.19380270965365243,0.17617957994734756,0.14218481455556886,0.13253907773450024,2.420897461072054,0.9111581504311053,0.4385757971399187,0.35504568692690763,0.36139998123597955,0.30329972430872976,0.4164741740116922,0.3406324586060375,0.0743003309937619,0.07160717317310283,0.2383456388642046,0.21206969531276643,5.305624585439427,0.9950364029303875,0.8887987849667417,0.5888506649940928,1.4324116363682915,0.7612675085063285,0.11120383530446183,0.10524365259276525,0.1242463576919432,0.11683775973106514,2.284583659146728,0.8981835563718907,0.40266137368601357,0.3314615542923952,0.4156582372041827,0.340094236811711,0.4094786504410991,0.3360036658909833,0.07026058077812306,0.06784911234804747,0.3258030924945589,0.27805266971537457
18,0.091888,0.109924,0.039004,0.04628,0.007628,0.009688,0.113572,0.138752,0.011148,0.013524,7.2e-05,9.2e-05,0.00108,0.00146,0.03392,0.044992,0.003676,0.038744,0.038744,0.4925410919606929,0.11682,0.727872,0.155308,0.152864,0.197832,0-0,4.149977687972753,0.9842352317751314,0.8037670573352316,0.5523604997015605,1.2161018474104315,0.7036167348199631,0.19380270965365243,0.17617957994734756,0.14218481455556886,0.13253907773450024,2.434243177653887,0.9123359319260557,0.44099354030434373,0.3566031372925482,0.3633922761595817,0.3046863749640687,0.41877007723741233,0.3421445661807151,0.07470992750717229,0.07198736177076892,0.23965957032803,0.2131043018814881,5.305624585439427,0.9950364029303875,0.8887987849667417,0.5888506649940928,1.4324116363682915,0.7612675085063285,0.11120383530446183,0.10524365259276525,0.1242463576919432,0.11683775973106514,2.2971779166535935,0.8994578178497132,0.40488113088683503,0.332943901487184,0.4179496424032178,0.34160461720075685,0.4117359893424661,0.33750084019568516,0.07064790730186792,0.06821008919850025,0.3275991519327772,0.27934816628915027
19,0.097252,0.117088,0.041224,0.04954,0.00858,0.010972,0.112824,0.13804,0.009816,0.011996,6.4e-05,9.6e-05,0.001752,0.002124,0.038212,0.048912,0.004896,0.038008,0.038004,0.49260689196069285,0.121704,0.716288,0.162008,0.161464,0.208816,0-0,4.410017184083562,0.9878450305438905,0.8541314680128276,0.5743472764104924,1.2923033442369145,0.7253625306323142,0.2059464758983002,0.1861233628669704,0.1510941799333139,0.14023327792646978,2.408956556761993,0.9100909393546814,0.43641255325595946,0.353648983293093,0.35961740156749344,0.30205669299022964,0.41441994480973204,0.33927657437599457,0.07393384990281579,0.07126687240401097,0.2371700159755187,0.21114284170347764,5.638077443619671,0.9964402944336489,0.944491322508926,0.6111226662547997,1.522167203301574,0.781761592922389,0.11817191838162351,0.11145671744013674,0.13203169117492847,0.12368677675633533,2.2733151129563742,0.8970297443913718,0.4006752751379101,0.33013245162848526,0.41360803255241446,0.3387399070941425,0.4074589261609287,0.33466122114526664,0.06991402546740395,0.06752601452514062,0.32419609194457416,0.2768915672622809
20,0.096732,0.117408,0.041572,0.050084,0.008676,0.010556,0.114524,0.141464,0.01052,0.012804,6.4e-05,0.0001,0.00174,0.00206,0.038832,0.052204,0.004832,0.035892,0.035888,0.4926544919606928,0.12648,0.705448,0.168072,0.170156,0.219392,0-0,4.4500232604083,0.9883217046746814,0.8618798388863038,0.5776326470042255,1.3040266514409886,0.7285633910610471,0.20781474762824598,0.18764248607045442,0.15246485152989003,0.14141092848163905,2.3963132463160455,0.9089469746776,0.43412205973176726,0.3521668236844734,0.35772996427144926,0.3007381247961026,0.4122448785958918,0.3378378931299313,0.07354581110063753,0.07090641798300734,0.23592523879926303,0.21016027890850442,5.689224037185861,0.9966177835744315,0.9530594052077235,0.6144403659507667,1.5359757520605406,0.7847544376313949,0.1192439311627253,0.11240873681596109,0.13322943478769542,0.1247357469981516,2.261383711107764,0.895793806318488,0.39857234726344765,0.3287222862704793,0.41143722762701274,0.3373028812404095,0.40532039457016,0.33323685066032427,0.06954708455017197,0.06718378888115961,0.3224945619504726,0.27566012920770244
21,0.095236,0.116356,0.040556,0.050464,0.008584,0.010816,0.11178,0.13968,0.011028,0.013864,9.2e-05,0.000108,0.001628,0.002204,0.039168,0.052776,0.005048,0.032888,0.032888,0.4927121719606928,0.131044,0.694704,0.174252,0.17874,0.230232,0-0,4.370011107758821,0.9873488999581432,0.8463830971393513,0.5710363506694176,1.2805800370328402,0.7221239247147754,0.20407820416835437,0.1846013988756955,0.14972350833673773,0.13905401209237822,2.3541688781628882,0.9050275926163284,0.42648708131779345,0.3472017011851528,0.35143850661796877,0.29632488000544643,0.4049946578830913,0.33301962606390945,0.07225234842671004,0.06970389257087195,0.23177598154507753,0.20687622222974011,5.586930850053479,0.9962534911653439,0.9359232398101284,0.6077764181053626,1.5083586545426075,0.7787271347215479,0.11709990560052172,0.1105036769401424,0.13083394756216152,0.1226365493643905,2.2216123716123977,0.891565868316963,0.3915625876819061,0.32400026008603755,0.40420121120900715,0.33249020269770113,0.3981919559342644,0.3284668894764192,0.0683239481593987,0.06604212936712106,0.31682279530346746,0.2715401698078447
22,0.096912,0.117292,0.040956,0.049828,0.008228,0.010972,0.114632,0.142428,0.011924,0.015052,4.8e-05,0.000144,0.001628,0.002176,0.038728,0.051316,0.004972,0.036988,0.03698,0.4927866519606928,0.135088,0.68468,0.180232,0.186984,0.241216,0-0,4.430020222245931,0.9880857512625145,0.8580056534495658,0.5759931437371062,1.2981649978389518,0.7269676514170158,0.2068806117632731,0.18688327923555348,0.15177951573160198,0.14082230497556736,2.3225606020480205,0.9019777320406476,0.42076084750731313,0.34345290248964555,0.34671991337785846,0.29299667729884415,0.39955699234849096,0.3293829312682012,0.07128225142126443,0.06880097721594647,0.22866403860443843,0.20440422192144347,5.663650740402766,0.9965301736878195,0.9487753638583247,0.6127850693880194,1.5290714776810574,0.7832631811116326,0.11870792477217441,0.11193285470016323,0.13263056298131196,0.12421141892691467,2.1917838669908734,0.8882827180123922,0.38630526799575005,0.32043695483543144,0.39877419889550303,0.32885777109818126,0.3928456269573427,0.3248670381284896,0.06740659586631874,0.06518496787343597,0.3125689703182137,0.2684348290760238
23,0.098572,0.11776,0.042216,0.050636,0.008984,0.011048,0.112136,0.135012,0.011404,0.013264,6e-05,8e-05,0.002284,0.002648,0.039788,0.052476,0.005876,0.043552,0.043552,0.4928318719606928,0.139664,0.674276,0.18606,0.195988,0.252284,0-0,4.430020222245931,0.9880857512625145,0.8580056534495658,0.5759931437371062,1.2981649978389518,0.7269676514170158,0.2068806117632731,0.18688327923555348,0.15177951573160198,0.14082230497556736,2.279713827758977,0.8976865181951463,0.41299861945310645,0.33833680371571195,0.34032359809681995,0.28845996749645486,0.3921859346238104,0.32442151115021955,0.0699672310361048,0.06757562601402112,0.22444562706268315,0.2010409827325198,5.663650740402766,0.9965301736878195,0.9487753638583247,0.6127850693880194,1.5290714776810574,0.7832631811116326,0.11870792477217441,0.11193285470016323,0.13263056298131196,0.12421141892691467,2.151349671837251,0.8836729515668604,0.37917867908784947,0.3155766903925594,0.39141758220386397,0.3239022293132672,0.3855983810108488,0.319956410738211,0.06616307386903257,0.06402178174371398,0.3068026742270918,0.26420422194620696
