report,date,team,opponent,duration_minutes,possession_active_pct,possession_contested_pct,attempts,shots_on_target,attempts_against,shots_on_target_against,passes,passes_complete,passes_against,passes_complete_against,pressures,direct_pressures,distance_km,zone4_km,goals,goals_against,xg,xg_against,pass_completion_pct,pass_completion_pct_against,completed_line_breaks,completed_line_breaks_against,defensive_line_breaks,defensive_line_breaks_against,final_third_receptions,final_third_receptions_against,crosses,crosses_against,ball_progressions,ball_progressions_against,forced_turnovers,forced_turnovers_against,second_balls,second_balls_against,phase_build_up_unopposed,phase_build_up_opposed,phase_progression,phase_final_third,phase_long_ball,phase_attacking_transition,phase_counter_attack,phase_set_piece,phase_high_press,phase_mid_press,phase_low_press,phase_high_block,phase_mid_block,phase_low_block,phase_recovery,phase_defensive_transition,phase_counter_press,possession_regains,interceptions,tackles,set_plays,free_kicks,penalties,corners,throw_ins,possession_regains_against,interceptions_against,tackles_against,set_plays_against,free_kicks_against,penalties_against,corners_against,throw_ins_against,goals_per90,xg_per90,attempts_per90,shots_on_target_per90,attempts_against_per90,shots_on_target_against_per90,passes_per90,completed_line_breaks_per90,defensive_line_breaks_per90,final_third_receptions_per90,crosses_per90,ball_progressions_per90,pressures_per90,direct_pressures_per90,forced_turnovers_per90,second_balls_per90,distance_km_per90,zone4_km_per90,set_plays_per90,free_kicks_per90,penalties_per90,corners_per90,throw_ins_per90,possession_regains_per90,interceptions_per90,tackles_per90
PMSR-M45-ENG-V-GHA.pdf,2026-06-23,England,Ghana,90,72.4,7.6,19,3,2,0,652,605,179,128,105,39,108.3,5.1,0.0,0.0,1.78,0.34,93.0,72.0,106.0,36.0,16.0,6.0,218.0,24.0,32.0,5.0,31.0,11.0,25.0,31.0,65.0,32.0,50.0,17.0,19.0,23.0,1.0,5.0,0.0,7.0,9.0,2.0,1.0,6.0,16.0,6.0,8.0,24.0,15.0,33.0,6.0,19.0,57.0,26.0,0.0,9.0,22.0,32.0,4.0,43.0,27.0,16.0,0.0,2.0,9.0,0.0,1.7799999999999998,19.0,3.0,2.0,0.0,652.0,106.0,16.0,218.0,32.0,31.0,105.0,39.0,25.0,65.0,108.3,5.1,57.0,26.0,0.0,9.0,22.0,33.0,6.0,19.0
PMSR-M61-NOR-V-FRA.pdf,2026-06-26,France,Norway,90,51.2,7.8,18,9,10,5,549,492,449,367,234,45,109.1,5.6,4.0,1.0,1.05,1.45,90.0,82.0,98.0,75.0,21.0,4.0,184.0,96.0,16.0,9.0,28.0,24.0,43.0,38.0,68.0,64.0,34.0,19.0,14.0,26.0,1.0,14.0,3.0,5.0,7.0,3.0,1.0,7.0,29.0,13.0,2.0,13.0,11.0,45.0,6.0,38.0,27.0,10.0,0.0,5.0,12.0,36.0,10.0,27.0,40.0,12.0,1.0,4.0,23.0,4.0,1.05,18.0,9.0,10.0,5.0,549.0,98.0,21.0,184.0,16.0,28.0,234.0,45.0,43.0,68.0,109.1,5.6,27.0,10.0,0.0,5.0,12.0,45.0,6.0,38.0
PMSR-M66-URU-V-ESP.pdf,2026-06-26,Spain,Uruguay,90,57.1,9.5,6,1,5,1,637,570,305,241,215,35,111.2,5.1,1.0,0.0,1.12,0.22,89.0,79.0,134.0,68.0,10.0,15.0,89.0,94.0,15.0,18.0,37.0,24.0,49.0,53.0,65.0,67.0,40.0,20.0,14.0,8.0,2.0,10.0,1.0,4.0,6.0,4.0,0.0,5.0,17.0,17.0,6.0,19.0,12.0,61.0,9.0,33.0,35.0,19.0,0.0,6.0,10.0,71.0,11.0,48.0,33.0,16.0,0.0,1.0,16.0,1.0,1.12,6.0,1.0,5.0,1.0,637.0,134.0,10.0,89.0,15.0,37.0,215.0,35.0,49.0,65.0,111.2,5.1,35.0,19.0,0.0,6.0,10.0,61.0,9.0,33.0
PMSR-M67-PAN-V-ENG.pdf,2026-06-27,England,Panama,90,57.7,9.2,17,6,13,2,562,500,306,231,228,46,115.2,7.6,2.0,0.0,1.61,0.72,89.0,75.0,114.0,84.0,30.0,5.0,177.0,48.0,29.0,10.0,25.0,22.0,44.0,55.0,72.0,57.0,40.0,12.0,23.0,21.0,2.0,11.0,1.0,5.0,12.0,5.0,0.0,5.0,7.0,7.0,8.0,23.0,16.0,45.0,8.0,26.0,41.0,20.0,0.0,7.0,14.0,48.0,7.0,38.0,44.0,17.0,0.0,3.0,24.0,2.0,1.61,17.0,6.0,13.0,2.0,562.0,114.0,30.0,177.0,29.0,25.0,228.0,46.0,44.0,72.0,115.2,7.6,41.0,20.0,0.0,7.0,14.0,45.0,8.0,26.0
PMSR-M70-JOR-V-ARG.pdf,2026-06-27,Argentina,Jordan,90,67.6,4.7,13,4,5,1,824,762,300,239,184,39,105.9,4.7,3.0,1.0,2.52,0.96,92.0,80.0,130.0,66.0,8.0,11.0,144.0,61.0,10.0,9.0,25.0,30.0,42.0,37.0,48.0,44.0,45.0,25.0,16.0,11.0,1.0,6.0,1.0,5.0,8.0,5.0,1.0,5.0,14.0,19.0,4.0,14.0,13.0,34.0,8.0,31.0,38.0,12.0,1.0,6.0,19.0,38.0,13.0,26.0,23.0,10.0,0.0,2.0,11.0,3.0,2.52,13.0,4.0,5.0,1.0,824.0,130.0,8.0,144.0,10.0,25.0,184.0,39.0,42.0,48.0,105.9,4.7,38.0,12.0,1.0,6.0,19.0,34.0,8.0,31.0
PMSR-M77-FRA-V-SWE.pdf,2026-06-30,France,Sweden,90,53.5,8.4,25,12,8,3,548,498,365,296,213,38,107.7,4.9,3.0,0.0,2.9,0.71,91.0,81.0,129.0,71.0,16.0,6.0,202.0,99.0,22.0,11.0,33.0,16.0,35.0,34.0,64.0,56.0,35.0,18.0,19.0,25.0,2.0,10.0,1.0,6.0,5.0,4.0,1.0,5.0,25.0,16.0,3.0,15.0,9.0,32.0,10.0,26.0,30.0,11.0,0.0,9.0,10.0,31.0,4.0,27.0,37.0,17.0,0.0,1.0,19.0,3.0,2.9,25.0,12.0,8.0,3.0,548.0,129.0,16.0,202.0,22.0,33.0,213.0,38.0,35.0,64.0,107.7,4.9,30.0,11.0,0.0,9.0,10.0,32.0,10.0,26.0
PMSR-M80-ENG-V-COD.pdf,2026-07-01,England,Congo DR,90,53.5,8.6,16,7,7,2,523,482,392,326,246,44,115.5,5.9,2.0,1.0,1.75,0.64,92.0,83.0,125.0,91.0,25.0,9.0,222.0,75.0,42.0,16.0,41.0,31.0,35.0,36.0,69.0,48.0,33.0,15.0,25.0,31.0,2.0,12.0,1.0,5.0,9.0,5.0,0.0,10.0,15.0,16.0,6.0,16.0,11.0,34.0,9.0,24.0,36.0,16.0,0.0,5.0,15.0,35.0,7.0,35.0,37.0,10.0,0.0,3.0,24.0,2.0,1.75,16.0,7.0,7.0,2.0,523.0,125.0,25.0,222.0,42.0,41.0,246.0,44.0,35.0,69.0,115.5,5.9,36.0,16.0,0.0,5.0,15.0,34.0,9.0,24.0
PMSR-M84-ESP-V-AUT.pdf,2026-07-02,Spain,Austria,90,59.2,7.5,23,10,5,0,643,589,360,291,203,29,112.4,6.6,3.0,0.0,2.25,0.25,92.0,81.0,142.0,71.0,14.0,5.0,188.0,52.0,25.0,14.0,42.0,17.0,51.0,41.0,68.0,56.0,32.0,17.0,21.0,22.0,2.0,9.0,1.0,6.0,9.0,4.0,0.0,13.0,15.0,9.0,6.0,21.0,14.0,50.0,11.0,26.0,44.0,20.0,0.0,9.0,15.0,45.0,9.0,45.0,17.0,10.0,0.0,0.0,7.0,3.0,2.25,23.0,10.0,5.0,0.0,643.0,142.0,14.0,188.0,25.0,42.0,203.0,29.0,51.0,68.0,112.4,6.6,44.0,20.0,0.0,9.0,15.0,50.0,11.0,26.0
PMSR-M86-ARG-V-CPV.pdf,2026-07-03,Argentina,Cabo Verde,120,59.2,6.6,22,12,16,5,862,800,491,425,289,51,140.6,6.2,3.0,2.0,2.73,0.52,93.0,87.0,152.0,100.0,24.0,5.0,262.0,100.0,19.0,19.0,33.0,29.0,51.0,45.0,77.0,69.0,51.0,16.0,14.0,19.0,1.0,5.0,1.0,4.0,9.0,5.0,0.0,5.0,17.0,21.0,5.0,13.0,9.0,41.0,4.0,39.0,37.0,14.0,0.0,8.0,15.0,46.0,6.0,34.0,42.0,16.0,0.0,8.0,18.0,2.25,2.0475,16.5,9.0,12.0,3.75,646.5,114.0,18.0,196.5,14.25,24.75,216.75,38.25,38.25,57.75,105.45,4.65,27.75,10.5,0.0,6.0,11.25,30.75,3.0,29.25
PMSR-M89-PAR-V-FRA.pdf,2026-07-04,France,Paraguay,90,66.7,10.8,15,5,5,0,587,526,191,108,95,23,104.8,4.3,1.0,0.0,1.93,0.13,90.0,57.0,103.0,37.0,10.0,3.0,241.0,22.0,20.0,6.0,36.0,13.0,37.0,40.0,75.0,65.0,42.0,16.0,18.0,33.0,1.0,9.0,2.0,6.0,3.0,3.0,0.0,7.0,7.0,4.0,4.0,32.0,24.0,44.0,8.0,18.0,42.0,12.0,1.0,12.0,17.0,40.0,8.0,53.0,31.0,10.0,0.0,2.0,19.0,1.0,1.93,15.0,5.0,5.0,0.0,587.0,103.0,10.0,241.0,20.0,36.0,95.0,23.0,37.0,75.0,104.8,4.3,42.0,12.0,1.0,12.0,17.0,44.0,8.0,18.0
PMSR-M92-MEX-V-ENG.pdf,2026-07-05,England,Mexico,90,31.5,9.1,6,5,20,5,254,204,485,448,243,36,106.7,3.9,3.0,2.0,2.12,2.01,80.0,92.0,53.0,103.0,9.0,8.0,43.0,206.0,8.0,49.0,17.0,20.0,28.0,33.0,48.0,62.0,26.0,13.0,10.0,8.0,12.0,19.0,1.0,8.0,3.0,1.0,0.0,2.0,16.0,49.0,4.0,7.0,5.0,36.0,6.0,25.0,28.0,13.0,1.0,2.0,12.0,36.0,4.0,29.0,43.0,6.0,1.0,12.0,24.0,3.0,2.12,6.0,5.0,20.0,5.0,254.0,53.0,9.0,43.0,8.0,17.0,243.0,36.0,28.0,48.0,106.7,3.9,28.0,13.0,1.0,2.0,12.0,36.0,6.0,25.0
PMSR-M93-POR-V-ESP.pdf,2026-07-06,Spain,Portugal,90,50.6,7.7,15,6,10,2,548,490,459,378,294,45,115.4,6.1,1.0,0.0,1.72,0.91,89.0,82.0,143.0,102.0,16.0,10.0,144.0,101.0,18.0,12.0,29.0,36.0,55.0,43.0,57.0,63.0,36.0,16.0,18.0,18.0,2.0,12.0,1.0,5.0,9.0,4.0,0.0,9.0,17.0,21.0,3.0,15.0,12.0,54.0,9.0,35.0,35.0,11.0,0.0,7.0,17.0,50.0,15.0,26.0,37.0,14.0,0.0,3.0,20.0,1.0,1.7200000000000002,15.0,6.0,10.0,2.0,548.0,143.0,16.0,144.0,18.0,29.0,294.0,45.0,55.0,57.0,115.4,6.1,35.0,11.0,0.0,7.0,17.0,54.0,9.0,35.0
PMSR-M95-ARG-V-EGY.pdf,2026-07-07,Argentina,Egypt,90,57.1,8.5,19,7,5,2,618,558,382,316,190,36,110.4,5.5,3.0,2.0,2.63,0.76,90.0,83.0,129.0,80.0,12.0,4.0,231.0,54.0,26.0,8.0,32.0,35.0,39.0,27.0,65.0,39.0,39.0,25.0,14.0,24.0,2.0,9.0,0.0,5.0,10.0,7.0,0.0,9.0,18.0,13.0,4.0,13.0,8.0,39.0,10.0,32.0,36.0,10.0,1.0,6.0,19.0,29.0,5.0,30.0,42.0,16.0,0.0,1.0,25.0,3.0,2.63,19.0,7.0,5.0,2.0,618.0,129.0,12.0,231.0,26.0,32.0,190.0,36.0,39.0,65.0,110.4,5.5,36.0,10.0,1.0,6.0,19.0,39.0,10.0,32.0
PMSR-M97-FRA-V-MAR.pdf,2026-07-09,France,Morocco,90,46.5,6.9,22,8,5,1,497,450,539,469,263,31,108.6,5.3,2.0,0.0,3.52,0.16,91.0,87.0,104.0,76.0,9.0,6.0,163.0,92.0,13.0,16.0,43.0,32.0,38.0,36.0,51.0,54.0,33.0,18.0,21.0,24.0,2.0,13.0,2.0,7.0,5.0,2.0,1.0,11.0,32.0,17.0,4.0,9.0,7.0,37.0,11.0,27.0,35.0,12.0,1.0,5.0,17.0,30.0,3.0,38.0,33.0,10.0,0.0,5.0,18.0,2.0,3.52,22.0,8.0,5.0,1.0,497.0,104.0,9.0,163.0,13.0,43.0,263.0,31.0,38.0,51.0,108.6,5.3,35.0,12.0,1.0,5.0,17.0,37.0,11.0,27.0
PMSR-M98-ESP-V-BEL-ALT.pdf,2026-07-10,Spain,Belgium,90,61.6,7.4,17,8,5,2,693,625,320,254,206,23,114.6,5.3,2.0,1.0,2.2,0.34,90.0,79.0,159.0,80.0,18.0,9.0,250.0,54.0,21.0,12.0,36.0,27.0,37.0,40.0,71.0,50.0,39.0,15.0,22.0,27.0,2.0,9.0,0.0,8.0,11.0,7.0,0.0,7.0,16.0,10.0,4.0,16.0,11.0,52.0,11.0,20.0,46.0,19.0,0.0,5.0,22.0,33.0,5.0,33.0,32.0,16.0,0.0,1.0,15.0,2.0,2.2,17.0,8.0,5.0,2.0,693.0,159.0,18.0,250.0,21.0,36.0,206.0,23.0,37.0,71.0,114.6,5.3,46.0,19.0,0.0,5.0,22.0,52.0,11.0,20.0
PMSR-M99-NOR-V-ENG.pdf,2026-07-11,England,Norway,120,47.4,8.4,14,7,13,4,653,593,582,504,304,51,140.8,5.5,2.0,1.0,1.64,0.87,91.0,87.0,121.0,100.0,15.0,3.0,174.0,144.0,21.0,18.0,40.0,23.0,42.0,33.0,58.0,67.0,39.0,15.0,18.0,20.0,2.0,9.0,1.0,5.0,8.0,4.0,0.0,4.0,20.0,30.0,4.0,12.0,8.0,47.0,8.0,24.0,42.0,11.0,0.0,4.0,27.0,45.0,8.0,41.0,35.0,12.0,0.0,7.0,16.0,1.5,1.23,10.5,5.25,9.75,3.0,489.75,90.75,11.25,130.5,15.75,30.0,228.0,38.25,31.5,43.5,105.60000000000001,4.125,31.5,8.25,0.0,3.0,20.25,35.25,6.0,18.0
