minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,expected_home_goals_after,expected_away_goals_after
25,1.0,0.09283555555555556,0.08640888888888888,0.00981111111111111,0.009157777777777779,0.11444444444444445,0.1147,0.015864444444444445,0.016246666666666666,0.04081333333333333,0.03654888888888889,0.17108,0.6658422222222222,0.16307777777777777,0.23697555555555555,0.2269488888888889
26,1.0,0.08932444444444444,0.08297333333333333,0.008851111111111112,0.008393333333333333,0.11613777777777778,0.11591555555555555,0.017542222222222223,0.017535555555555554,0.03669555555555556,0.032986666666666664,0.1754911111111111,0.6573133333333333,0.16719555555555554,0.24582666666666667,0.23534222222222223
27,1.0,0.08635333333333334,0.0802,0.008277777777777778,0.00785111111111111,0.11926888888888888,0.12000666666666666,0.017715555555555554,0.017946666666666666,0.034797777777777775,0.031002222222222223,0.17962444444444445,0.6493733333333334,0.17100222222222222,0.25410444444444447,0.24319333333333334
28,1.0,0.08718444444444444,0.08079333333333333,0.00874888888888889,0.008455555555555555,0.12322444444444444,0.12339777777777777,0.018586666666666668,0.01897333333333333,0.03397777777777778,0.03012888888888889,0.18379333333333334,0.6412044444444445,0.17500222222222223,0.2628533333333333,0.25164888888888887
29,1.0,0.0867688888888889,0.08066444444444444,0.008633333333333333,0.008444444444444444,0.12440444444444444,0.12508222222222223,0.020331111111111112,0.02008888888888889,0.034944444444444445,0.03165111111111111,0.18782222222222222,0.6331955555555555,0.1789822222222222,0.27148666666666665,0.26009333333333334
30,1.0,0.09299777777777778,0.08604888888888888,0.009457777777777778,0.008806666666666668,0.12212666666666666,0.12325555555555555,0.021253333333333332,0.02118888888888889,0.03403777777777778,0.030084444444444445,0.19220666666666666,0.6249155555555556,0.18287777777777778,0.28094444444444444,0.2689
31,1.0,0.09508666666666667,0.08774222222222222,0.009546666666666667,0.009202222222222223,0.11818666666666666,0.11854,0.020126666666666668,0.02005777777777778,0.032822222222222225,0.030088888888888887,0.1965088888888889,0.6164866666666666,0.18700444444444445,0.2904911111111111,0.2781022222222222
32,1.0,0.10154,0.09310222222222223,0.010851111111111112,0.010051111111111111,0.11606666666666667,0.11664888888888889,0.018204444444444443,0.018137777777777777,0.032711111111111114,0.02917111111111111,0.2012288888888889,0.6074688888888888,0.19130222222222223,0.30134222222222223,0.2881533333333333
33,1.0,0.10071111111111111,0.09354666666666667,0.010648888888888888,0.009995555555555556,0.11657111111111111,0.1167688888888889,0.018168888888888887,0.018355555555555556,0.03405777777777778,0.03090888888888889,0.2057,0.5989733333333334,0.19532666666666668,0.3119911111111111,0.2981488888888889
34,1.0,0.09906666666666666,0.09123111111111111,0.0106,0.009873333333333333,0.11541555555555555,0.11472222222222223,0.016857777777777777,0.016524444444444446,0.03397111111111111,0.030404444444444446,0.21012,0.5905511111111111,0.1993288888888889,0.3225911111111111,0.3080222222222222
