minute,p_active,p_home_shot,p_away_shot,p_home_goal,p_away_goal,p_home_foul,p_away_foul,p_home_yellow,p_away_yellow,p_home_corner,p_away_corner,p_home_leading_after,p_draw_after,p_away_leading_after,expected_home_goals_after,expected_away_goals_after
21,1.0,0.12875666666666666,0.08707333333333334,0.01159,0.01095,0.12333666666666666,0.11905333333333333,0.012933333333333333,0.012426666666666667,0.06894333333333333,0.03935,0.17789666666666668,0.6586666666666666,0.16343666666666667,0.24808333333333332,0.23031
22,1.0,0.13017666666666666,0.08805666666666667,0.01197,0.011246666666666667,0.12542666666666666,0.12163333333333333,0.014466666666666666,0.013856666666666666,0.06739666666666666,0.038406666666666665,0.18385333333333334,0.6473666666666666,0.16878,0.26005333333333336,0.24155666666666667
23,1.0,0.12970333333333334,0.08879,0.01202,0.01148,0.11971666666666667,0.11821,0.012473333333333333,0.012496666666666666,0.06875666666666666,0.03988666666666667,0.18971,0.6360233333333334,0.17426666666666665,0.27207333333333333,0.2530366666666667
24,1.0,0.13686666666666666,0.09196333333333333,0.012626666666666666,0.011516666666666666,0.11689333333333334,0.11327666666666666,0.013743333333333333,0.01304,0.07103,0.040113333333333334,0.19564,0.6248733333333333,0.17948666666666666,0.2847,0.2645533333333333
25,1.0,0.13258,0.08867333333333334,0.0121,0.010776666666666667,0.12064333333333334,0.11609666666666667,0.014483333333333334,0.013996666666666666,0.07185333333333334,0.04035,0.20119,0.6147166666666667,0.18409333333333333,0.2968,0.27533
26,1.0,0.12756666666666666,0.08625333333333333,0.011096666666666666,0.01047,0.12221333333333333,0.11867,0.016123333333333333,0.015796666666666667,0.06552666666666666,0.03698333333333333,0.20584,0.6057633333333333,0.18839666666666666,0.30789666666666665,0.2858
27,1.0,0.12304,0.08289,0.01042,0.00955,0.12588666666666667,0.12182333333333334,0.016473333333333333,0.016036666666666668,0.060783333333333335,0.03531,0.21030666666666667,0.5974533333333333,0.19224,0.3183166666666667,0.29535
28,1.0,0.12383666666666666,0.08474666666666666,0.010693333333333332,0.010366666666666666,0.13048666666666667,0.12567666666666666,0.017356666666666666,0.016416666666666666,0.059416666666666666,0.03445666666666666,0.21462666666666666,0.5889766666666667,0.19639666666666666,0.32901,0.3057166666666667
29,1.0,0.12443,0.08467,0.010663333333333334,0.01018,0.13067333333333334,0.12623666666666666,0.018276666666666667,0.018076666666666668,0.06194,0.03531666666666667,0.21871333333333334,0.5810533333333333,0.20023333333333335,0.3396733333333333,0.31589666666666666
30,1.0,0.13241,0.08940666666666666,0.01149,0.01061,0.12779666666666667,0.12370666666666667,0.01955,0.018776666666666667,0.059006666666666666,0.03324,0.22311666666666666,0.5727466666666666,0.20413666666666666,0.3511633333333333,0.32650666666666667
31,1.0,0.13570333333333334,0.09046,0.012213333333333333,0.011073333333333333,0.12532,0.12094,0.018626666666666666,0.017793333333333335,0.05812666666666667,0.034146666666666665,0.22796666666666668,0.56363,0.20840333333333333,0.3633766666666667,0.33758
32,1.0,0.14443333333333333,0.09732333333333333,0.013046666666666666,0.012226666666666667,0.12205666666666666,0.11839333333333334,0.016963333333333334,0.016193333333333334,0.05708666666666667,0.03289,0.23287333333333332,0.5542633333333333,0.21286333333333332,0.37642333333333333,0.34980666666666665
33,1.0,0.14502666666666666,0.09758666666666667,0.01311,0.012423333333333333,0.12137,0.11965333333333333,0.01716,0.016343333333333335,0.05966,0.033916666666666664,0.23755666666666667,0.54514,0.21730333333333332,0.38953333333333334,0.36223
34,1.0,0.14182333333333333,0.09450333333333333,0.01284,0.011996666666666666,0.12009,0.11642333333333334,0.01489,0.01488,0.059026666666666665,0.03468333333333333,0.24218333333333333,0.5362866666666667,0.22153,0.40237333333333336,0.37422666666666665
35,1.0,0.14041666666666666,0.09347666666666667,0.013383333333333334,0.012283333333333334,0.12166,0.11792333333333334,0.01616333333333333,0.01541,0.0579,0.03346,0.24662333333333333,0.5280066666666666,0.22537,0.41575666666666666,0.38651
36,1.0,0.15337333333333333,0.10261,0.014746666666666667,0.013226666666666666,0.12063666666666667,0.11692333333333334,0.015213333333333334,0.014853333333333333,0.05875,0.03362333333333333,0.2515833333333333,0.5190466666666667,0.22937,0.43050333333333335,0.3997366666666667
37,1.0,0.14444333333333334,0.09718666666666667,0.01367,0.012323333333333334,0.12227,0.11967666666666667,0.015463333333333334,0.015403333333333333,0.06104,0.03514,0.2559666666666667,0.5110266666666666,0.23300666666666667,0.4441733333333333,0.41206
38,1.0,0.14434,0.09678,0.014413333333333334,0.012703333333333334,0.12308,0.11992666666666667,0.015166666666666667,0.014553333333333333,0.06045,0.034576666666666665,0.26033666666666666,0.50301,0.23665333333333333,0.45858666666666664,0.4247633333333333
39,1.0,0.14072666666666667,0.09461333333333333,0.013483333333333333,0.01225,0.12129666666666666,0.11705,0.0152,0.015146666666666666,0.0622,0.03527,0.2642833333333333,0.4957066666666667,0.24001,0.47207,0.4370133333333333
40,1.0,0.14183666666666667,0.09603,0.013663333333333333,0.01263,0.11789666666666666,0.11426,0.01679,0.016306666666666667,0.06183333333333333,0.035883333333333337,0.26814,0.48844666666666664,0.24341333333333334,0.48573333333333335,0.44964333333333334
41,1.0,0.14317,0.09587333333333334,0.014076666666666666,0.012713333333333333,0.11691333333333333,0.11405333333333334,0.020066666666666667,0.020063333333333332,0.0642,0.03663333333333333,0.27195,0.48156666666666664,0.24648333333333333,0.49981,0.4623566666666667
42,1.0,0.20656666666666668,0.13869333333333334,0.019533333333333333,0.018093333333333333,0.1509,0.14655666666666667,0.026573333333333334,0.025586666666666667,0.09861,0.056663333333333336,0.27713333333333334,0.47191333333333335,0.2509533333333333,0.5193433333333334,0.48045
43,1.0,0.18897333333333333,0.12638666666666667,0.018773333333333333,0.016576666666666667,0.15342666666666666,0.14828666666666668,0.025706666666666666,0.024516666666666666,0.09175,0.05210666666666667,0.2821166666666667,0.4631533333333333,0.25473,0.5381166666666667,0.49702666666666667
44,1.0,0.18580666666666668,0.12393666666666667,0.017613333333333335,0.016566666666666667,0.1581,0.15435,0.02605,0.02514,0.09046,0.052346666666666666,0.2865,0.45500666666666667,0.25849333333333335,0.55573,0.5135933333333333
45,1.0,0.18533,0.12478,0.017096666666666666,0.01567,0.16271333333333332,0.15778333333333333,0.026853333333333333,0.025943333333333332,0.09765,0.0567,0.2905933333333333,0.44749,0.2619166666666667,0.5728266666666667,0.5292633333333333
