fixture_id,stage,group,contract,side,central_probability,spec_p10,confidence_class,ask,bid,spread,fee,central_net_edge,robust_edge,required_edge,max_taker_entry,ask_depth_1c_usd,market_volume,decision,recommended_amount_10k,maker_robust_edge,maker_decision,maker_queue_depth_at_price_usd,maker_recommended_amount_10k
fifwc-esp-arg-2026-07-19,World Cup final,totals,Total over 2.5,NO,0.602387,0.594883,standard,0.59,0.58,0.01,0.012095,0.000292,-0.012212,0.02,0.5575,92283.46,16998.0,PASS,0.0,0.009883,PASS,51561.46,0.0
fifwc-esp-arg-2026-07-19,World Cup final,totals,Total over 3.5,NO,0.793562,0.787736,standard,0.79,0.78,0.01,0.008295,-0.004733,-0.015559,0.02,0.7534,5023.38,1866.41,PASS,0.0,0.002736,PASS,2332.48,0.0
fifwc-esp-arg-2026-07-19,World Cup final,totals,Total over 4.5,NO,0.915014,0.910169,standard,0.92,0.9,0.02,0.00368,-0.008666,-0.018511,0.02,0.8798,10358.36,2449.47,PASS,0.0,0.005169,PASS,4546.15,0.0
fifwc-esp-arg-2026-07-19,World Cup final,totals,Total over 5.5,NO,0.967071,0.963724,standard,0.97,0.962,0.008,0.001455,-0.004384,-0.012731,0.02,0.9357,5140.59,131.63,PASS,0.0,-0.003276,PASS,2881.94,0.0
fifwc-esp-arg-2026-07-19,World Cup final,totals,Total over 6.5,NO,0.989531,0.9878,standard,0.989,0.987,0.002,0.000544,-1.2e-05,-0.006744,0.02,0.9609,6607.08,537.18,PASS,0.0,-0.0042,PASS,1997.69,0.0
fifwc-esp-arg-2026-07-19,World Cup final,totals,Total over 7.5,NO,0.996761,0.996016,standard,0.997,0.993,0.004,0.00015,-0.000389,-0.006133,0.02,0.9695,8755.98,20.0,PASS,0.0,-0.001984,PASS,1388.12,0.0
fifwc-esp-arg-2026-07-19,World Cup final,totals,Total over 8.5,NO,0.999155,0.998894,standard,0.998,0.996,0.002,0.0001,0.001055,-0.004206,0.02,0.9725,7467.09,70.22,PASS,0.0,-0.002106,PASS,966.0,0.0
fifwc-esp-arg-2026-07-19,World Cup final,advance,Spain to advance,NO,0.422793,0.413465,low,0.42,0.41,0.01,0.01218,-0.009387,-0.028715,0.04,0.352,999480.07,80774.82,PASS,0.0,-0.006535,PASS,385812.63,0.0
fifwc-esp-arg-2026-07-19,World Cup final,extra_time,Match goes to extra time,NO,0.692927,0.691051,low,0.69,0.68,0.01,0.010695,-0.007768,-0.019644,0.04,0.6293,7606.81,488.81,PASS,0.0,0.001051,PASS,357.5,0.0
fifwc-esp-arg-2026-07-19,World Cup final,extra_time,Match goes to penalties,NO,0.828039,0.826989,low,0.78,0.75,0.03,0.00858,0.039459,0.028409,0.04,0.768,571.67,436.16,WATCH,0.0,0.066989,PASS,504.62,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 0-0 Argentina,YES,0.110916,0.105274,medium,0.11,0.1,0.01,0.004895,-0.003979,-0.017121,0.03,0.0647,12136.54,5941.62,PASS,0.0,-0.002226,PASS,892.98,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 0-1 Argentina,YES,0.096794,0.090814,medium,0.09,0.08,0.01,0.004095,0.002699,-0.010781,0.03,0.0508,14231.3,7225.09,PASS,0.0,0.003314,PASS,3712.05,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 1-0 Argentina,YES,0.138678,0.131621,medium,0.12,0.11,0.01,0.00528,0.013398,-0.001159,0.03,0.09,18022.73,7809.17,WATCH,0.0,0.014121,PASS,4146.37,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 0-2 Argentina,YES,0.045569,0.04278,medium,0.045,0.044,0.001,0.002149,-0.00158,-0.011869,0.03,0.005,8293.81,18010.15,PASS,0.0,-0.00872,PASS,91.02,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 1-1 Argentina,NO,0.864206,0.858827,medium,0.85,0.84,0.01,0.006375,0.007831,-0.005048,0.03,0.8137,70003.92,5165.99,PASS,0.0,0.011327,PASS,75233.8,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 2-0 Argentina,NO,0.925364,0.921864,medium,0.93,0.92,0.01,0.003255,-0.007891,-0.018891,0.03,0.879,175677.26,17736.5,PASS,0.0,-0.005636,PASS,7544.46,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 0-3 Argentina,YES,0.016938,0.015869,medium,0.013,0.012,0.001,0.000642,0.003296,-0.005272,0.03,0.0,2677.83,5879.89,PASS,0.0,-0.003631,PASS,18.47,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 1-2 Argentina,NO,0.941129,0.937495,medium,0.94,0.93,0.01,0.00282,-0.001691,-0.012825,0.03,0.8953,65717.66,31255.15,PASS,0.0,-5e-06,PASS,63005.76,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 2-1 Argentina,NO,0.916774,0.912945,medium,0.92,0.91,0.01,0.00368,-0.006906,-0.018235,0.03,0.8697,89921.06,61271.36,PASS,0.0,-0.004555,PASS,102227.93,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 3-0 Argentina,NO,0.967859,0.966381,medium,0.964,0.963,0.001,0.001735,0.002124,-0.006855,0.03,0.9254,164752.07,9683.15,PASS,0.0,-0.004119,PASS,8538.65,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 1-3 Argentina,NO,0.979,0.977644,medium,0.979,0.978,0.001,0.001028,-0.001028,-0.009884,0.03,0.9372,24669.84,21039.5,PASS,0.0,-0.007856,PASS,98013.5,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 2-2 Argentina,NO,0.948436,0.946163,medium,0.95,0.94,0.01,0.002375,-0.003939,-0.013712,0.03,0.9043,99009.55,45632.5,PASS,0.0,-0.001337,PASS,124743.09,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 3-1 Argentina,NO,0.965605,0.963844,medium,0.963,0.962,0.001,0.001782,0.000824,-0.008437,0.03,0.9227,123242.25,19546.79,PASS,0.0,-0.005656,PASS,76550.56,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 2-3 Argentina,NO,0.986749,0.985973,medium,0.971,0.97,0.001,0.001408,0.014341,0.006065,0.03,0.9459,61710.88,340563.56,WATCH,0.0,0.008473,PASS,15909.42,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 3-2 Argentina,NO,0.981267,0.980297,medium,0.98,0.979,0.001,0.00098,0.000287,-0.008183,0.03,0.9399,26369.93,39791.09,PASS,0.0,-0.006203,PASS,105497.79,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Spain 3-3 Argentina,NO,0.991998,0.991462,medium,0.99,0.989,0.001,0.000495,0.001503,-0.006533,0.03,0.9516,85500.53,37163.86,PASS,0.0,-0.005038,PASS,10046.71,0.0
fifwc-esp-arg-2026-07-19,World Cup final,exact_score,Any Other Score,YES,0.059493,0.055957,medium,0.06,0.05,0.01,0.00282,-0.003327,-0.014363,0.03,0.0175,9302.33,3754.93,PASS,0.0,-0.001543,PASS,100.0,0.0
fifwc-esp-arg-2026-07-19,World Cup final,first_score,Spain to score first,NO,0.503256,0.496285,low,0.47,0.46,0.01,0.012455,0.020801,0.00383,0.04,0.434,2443.13,689.77,WATCH,0.0,0.026285,PASS,1065.44,0.0
fifwc-esp-arg-2026-07-19,World Cup final,first_score,Argentina to score first,YES,0.39234,0.385842,low,0.37,0.34,0.03,0.011655,0.010685,-0.005813,0.04,0.3248,143.94,560.1,WATCH,0.0,0.035842,PASS,340.0,0.0
fifwc-esp-arg-2026-07-19,World Cup final,first_score,Neither team to score first,NO,0.889084,0.883387,low,0.89,0.87,0.02,0.004895,-0.005811,-0.021508,0.04,0.8262,1076.12,810.72,PASS,0.0,0.003387,PASS,987.98,0.0
