fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd,side,model_probability,scenario_p10,scenario_p90,ask,bid,spread,estimated_fee,central_net_edge,robust_edge,required_edge,max_entry,depth_2c_usd,external_probability,external_validation_source,external_conflict_reason,model_risk_reason,lineup_pending_reason,player_data_quality_reason,decision,stake_per_10k
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944190,soccer_player_goals_plus_assists,Alexis Mac Allister: 4+ goals + assists,Alexis Mac Allister: 4+ goals + assists,Yes,No,10423436921471858985615462269773994445126166034906809641009007613874714988257,33731405699885820179080842981718753564530531716101413060776213509136495811438,0,4082.8434,0.01,0.46,0.05,0.01,True,0.47,0.01,0.45999999999999996,231.48909999999998,231.48909999999998,0.65,0.99,0.53,0.45999999999999996,64.35,64.35,261.0409,No,0.999993,0.999986,0.999996,0.99,0.53,0.46,0.000495,0.009498,-0.030509,0.12,0.833,64.35,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944191,soccer_player_goals_plus_assists,Dani Olmo: 1+ goals + assists,Dani Olmo: 1+ goals + assists,Yes,No,16368148068890637308364078176532257780069026176736573567513513719073492734111,98572984828110839600332215793095611797106446412821882508253869401006019773555,0,11284.3646,0.03,0.29,0.05,0.01,True,0.28,0.01,0.27,14.000000000000002,72.0,0.6,0.99,0.71,0.28,59.4,59.4,142.0,No,0.865815,0.845007,0.881334,0.99,0.71,0.28,0.000495,-0.12468,-0.185488,0.12,0.674,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944192,soccer_player_goals_plus_assists,Dani Olmo: 2+ goals + assists,Dani Olmo: 2+ goals + assists,Yes,No,28941662054056478339055812403311550433096595162179663446740731242606326695191,27300676828385183508577342088262727292032650816534640901843734127232908464969,0,10996.5658,0.01,0.1,0.05,0.01,True,0.1,0.01,0.09000000000000001,30.0,30.0,0.6,0.99,0.9,0.08999999999999997,59.4,59.4,270.0,No,0.990565,0.987157,0.992644,0.99,0.9,0.09,0.000495,7e-05,-0.043338,0.12,0.819,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944193,soccer_player_goals_plus_assists,Dani Olmo: 3+ goals + assists,Dani Olmo: 3+ goals + assists,Yes,No,4655006226381207278743830195689339837327779447066294954498086552073846787178,83765484960609268649040725234612056305256478772431496096894732071626603748755,0,4359.36781,0.01,0.429,0.05,0.001,True,0.43,0.01,0.42,196.9228,196.9228,0.6,0.99,0.57,0.42000000000000004,59.4,129.33,261.0372,No,0.999552,0.999271,0.999692,0.99,0.57,0.42,0.000495,0.009057,-0.031224,0.12,0.832,129.33,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944194,soccer_player_goals_plus_assists,Dani Olmo: 4+ goals + assists,Dani Olmo: 4+ goals + assists,Yes,No,21715347663856600798967321911165820290307870512155124809297107849532111265719,27334087962974722609510322700381477869572948486070671794576337104280102756570,0,825.5862,0.01,0.96,0.05,0.01,True,0.97,0.01,0.96,16.8586,79989.8978,0.6,0.99,0.03,0.96,59.4,59.4,0.5214,No,0.999984,0.999968,0.99999,0.99,0.03,0.96,0.000495,0.009489,-0.030527,0.12,0.833,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944195,soccer_player_goals_plus_assists,Enzo Fernández: 1+ goals + assists,Enzo Fernández: 1+ goals + assists,Yes,No,32018103855587705141013860148762267861843984601916940615639233140852092905830,43294713028966434847318245527351882022329945112262073890804444502316928908217,0,11609.5482,0.09,0.26,0.05,0.01,True,0.27,0.01,0.26,13.5,69.5,0.6,0.99,0.74,0.25,59.4,59.4,23.125,Yes,0.174986,0.154251,0.201328,0.27,0.01,0.26,0.009855,-0.104869,-0.165604,0.12,0.0,69.5,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944196,soccer_player_goals_plus_assists,Enzo Fernández: 2+ goals + assists,Enzo Fernández: 2+ goals + assists,Yes,No,97002436994727633541124918604661666035318043050755196593011912829584460236599,71525002106605884575685178681361297196549257264162112234211415402432423366915,0,4082.3018,0.01,0.46,0.05,0.01,True,0.47,0.01,0.45999999999999996,231.48909999999998,231.48909999999998,0.6,0.99,0.53,0.45999999999999996,59.4,59.4,261.0409,No,0.983709,0.977923,0.987411,0.99,0.53,0.46,0.000495,-0.006786,-0.052572,0.12,0.81,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944197,soccer_player_goals_plus_assists,Enzo Fernández: 3+ goals + assists,Enzo Fernández: 3+ goals + assists,Yes,No,88902258668239422887130104716020608455018688251161813643167091089551136833123,41839568328382020371304844341728405112664851441673784984977991680928650401499,0,393.5058,0.01,0.07,0.05,0.01,True,0.97,0.01,0.96,15.6752,91.2002,0.6,0.99,0.03,0.96,59.4,59.4,0.4848,No,0.998972,0.998331,0.999304,0.99,0.03,0.96,0.000495,0.008477,-0.032164,0.12,0.831,59.4,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944198,soccer_player_goals_plus_assists,Enzo Fernández: 4+ goals + assists,Enzo Fernández: 4+ goals + assists,Yes,No,21982952668032250277519479016511462040519740631333504285528676371295485144494,37823478658775830553373853624759780748419369629404857542274120039442205416489,13.7171,5480.0618,0.01,0.41,0.05,0.01,True,0.45,0.01,0.44,130.59900000000002,130.59900000000002,0.5128,0.99,0.55,0.43999999999999995,50.7672,50.7672,159.62100000000004,No,0.999951,0.999903,0.999971,0.99,0.55,0.44,0.000495,0.009456,-0.030592,0.12,0.832,50.77,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944199,soccer_player_goals_plus_assists,Fabián Ruiz: 1+ goals + assists,Fabián Ruiz: 1+ goals + assists,Yes,No,56150318665746628061321271025786396791686531621015865274128700644626008702294,54942209209365612732082061693771544352128224785798632070895723150915164400389,1.0204,11276.2091,0.08,0.32,0.05,0.01,True,0.34,0.01,0.33,17.0,176.5,0.6,0.99,0.66,0.32999999999999996,59.4,59.4,33.0,Yes,0.217332,0.193302,0.248885,0.34,0.01,0.33,0.01122,-0.133888,-0.197918,0.12,0.031,176.5,,,,,,,PASS,0
fifwc-esp-arg-2026-07-19,fifwc-esp-arg-2026-07-19-player-props,Spain vs. Argentina - Player Props,2944200,soccer_player_goals_plus_assists,Fabián Ruiz: 2+ goals + assists,Fabián Ruiz: 2+ goals + assists,Yes,No,61811094236183288185683204470892576580305506447785487225852777825102076392316,45427470666590501092379831250072743783752299288362568808535447097015722181316,0,10867.6183,0.01,0.09,0.05,0.01,True,0.09,0.01,0.08,27.0,27.0,0.65,0.99,0.91,0.07999999999999996,64.35,64.35,273.0,No,0.974458,0.965677,0.979932,0.99,0.91,0.08,0.000495,-0.016037,-0.064818,0.12,0.797,64.35,,,,,,,PASS,0
