fixture_id,home,away,event_slug,event_title,event_liquidity,event_volume,market_id,question,sports_market_type,group,contract,outcome_yes,outcome_no,token_yes,token_no,market_liquidity,market_volume,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,yes_ask,yes_bid,yes_spread,yes_ask_depth_1c,yes_ask_depth_2c,yes_ask_depth_at_best,yes_bid_depth_1c,yes_bid_depth_2c,yes_bid_depth_at_best,no_ask,no_bid,no_spread,no_ask_depth_1c,no_ask_depth_2c,no_ask_depth_at_best,no_bid_depth_1c,no_bid_depth_2c,no_bid_depth_at_best
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891670,England vs. Argentina: O/U 7.5,totals,totals,Total over 7.5,Over,Under,72504904419634050823484674959278299900916684760331125421711217495335287282577,69167743182559955031777936262258301157078752234386923417630340694219948449331,213137.14074,31160.727606999997,0.004,0.005,0.05,0.001,0.005,0.004,0.001,56.675450000000005,227.55545,4.433450000000001,106.16915,106.16915,7.1359200000000005,0.996,0.995,0.0010000000000000009,68705.04085,68705.04085,1776.84408,7229.01455,17102.13455,882.2565500000001
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891671,England vs. Argentina: O/U 8.5,totals,totals,Total over 8.5,Over,Under,86250835501759404807781332110846029111899850165344745523986800539566241332418,85270617877003251433149398477915858003664622815015811137365932861229406631583,207396.242,49501.172540000116,0.001,0.002,0.05,0.001,0.002,0.001,0.001,43.41749,272.28949,0.7431,104.36406,104.36406,104.36406,0.999,0.998,0.0010000000000000009,104259.69593999999,104259.69593999999,104259.69593999999,8989.28453,22782.41253,369.79892
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891672,England vs. Argentina: Both Teams to Score,both_teams_to_score,btts,Both teams to score,Yes,No,59458073578322831545784967048379645202850050992392426394980623102028749472257,21100333839007645025394718381927656685104808547086827793277009445033323188735,1065530.3516,3174991.767365886,0.52,0.53,0.05,0.01,0.53,0.52,0.010000000000000009,494538.63420000003,558525.7057,80020.21620000001,218785.32530000003,256822.67530000003,139368.8036,0.48,0.47,0.010000000000000009,204950.2747,242984.6247,128648.1264,423609.6058,475962.6643,70961.3238
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891673,England vs. Argentina: Both Teams to Score in First Half,both_teams_to_score_first_half,btts,Both teams to score first half,Yes,No,94188026789518451015803544585218335301378391594213219307403510079534653955728,82859006948686634631347732743325288620870719479911899350541737843841699175,379638.428,81716.68925100005,0.18,0.19,0.05,0.01,0.19,0.18,0.010000000000000009,55326.9992,57653.7992,1785.5972,18521.1892,18691.066,2403.4824,0.82,0.81,0.009999999999999898,89641.5308,90533.38399999999,10949.1976,221777.8908,230531.0908,7612.2828
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891674,England vs. Argentina: 1st Half O/U 0.5,first_half_totals,half_total,First half over 0.5,Over,Under,71747268641455118950006230479516786261146405971548224576601893915475061691279,77456328982896654227747737538290801718729195544464349863216139074807112606668,1031204.4298,36612.24198299998,0.62,0.63,0.05,0.01,0.63,0.62,0.010000000000000009,646283.3909,659498.9049000001,70525.7973,356802.8129,373244.5589,22559.028599999998,0.38,0.37,0.010000000000000009,227523.3471,238484.5111,13826.5014,365283.55909999995,372399.6051,41419.9127
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891675,England vs. Argentina: 1st Half O/U 1.5,first_half_totals,half_total,First half over 1.5,Over,Under,45582267922963887287115344486038000743102200213559540316946252804734094703649,33458165112468583186067662753755773253007648791087726723225592617524103226370,547878.7326,66694.16661,0.25,0.26,0.05,0.01,0.26,0.25,0.010000000000000009,19145.0927,27181.924300000002,13153.0178,63833.406899999994,67747.18579999999,3152.8125,0.75,0.74,0.010000000000000009,201613.6531,214716.30419999998,9458.4375,53636.3073,74302.4457,37435.5122
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891676,England vs. Argentina: 1st Half O/U 2.5,first_half_totals,half_total,First half over 2.5,Over,Under,59213890271801547041610514378867030181488897318780120967799104475161184767086,89383851119498667234024971237951093390638387563287213908274287751220582926763,325801.5819,12579.919382999997,0.07,0.08,0.05,0.01,0.08,0.07,0.009999999999999995,5388.7941,7090.1531,3834.4320000000002,4410.4772,7023.948200000001,3230.0072000000005,0.93,0.92,0.010000000000000009,61406.9828,111062.93179999999,42912.9528,59812.2959,75124.5269,44095.968
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891677,England vs. Argentina: England O/U 0.5,soccer_team_totals,team_total,England over 0.5,Over,Under,16561062452486418891364938006667157273051610006355229886676242467868988522858,6575744915807422397679285810474176107042510157975732905983960402970939439933,424868.007,54895.093388000074,0.71,0.72,0.05,0.01,0.72,0.71,0.010000000000000009,225881.3489,238993.5051,67486.7592,51101.730899999995,76765.9911,29359.4159,0.29,0.28,0.009999999999999953,21310.0091,29476.8289,11991.874099999999,84829.15110000002,89436.12490000001,26244.850800000004
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891678,England vs. Argentina: England O/U 1.5,soccer_team_totals,team_total,England over 1.5,Over,Under,113283124378443256821772147757556043305824664018352778118580498349110707543149,42368330121820885588083306824757110822099240783661588735222251195712333152963,623999.1724,128764.02728999984,0.33,0.34,0.05,0.01,0.34,0.33,0.010000000000000009,144658.98859999998,155533.4042,32600.811600000005,14065.056800000002,21311.0464,4058.2344000000003,0.67,0.66,0.010000000000000009,29503.9432,45632.113600000004,8239.445600000001,271391.9714,290724.2658,63283.928400000004
fifwc-eng-arg-2026-07-15,England,Argentina,fifwc-eng-arg-2026-07-15-more-markets,England vs. Argentina - More Markets,18667393.299505,18255488.832289148,2891679,England vs. Argentina: England O/U 2.5,soccer_team_totals,team_total,England over 2.5,Over,Under,84608365842033111114630681642153846164641547535108350390414416304005557771169,95106893484257892237890576345940915444674783960716120820840771192494505433466,297150.0506,11554.165650000006,0.11,0.12,0.05,0.01,0.12,0.11,0.009999999999999995,2962.514,6534.7232,447.53399999999993,15777.736,17729.1124,2351.349,0.89,0.88,0.010000000000000009,139862.03399999999,159547.1176,19024.551000000003,20112.936,42056.506799999996,3281.9159999999997
