group,contract,side,central_probability,spec_p10,confidence_class,external_benchmark_probability,external_benchmark_source,ask,bid,spread,fee,central_net_edge,robust_edge,required_edge,maker_robust_edge,maker_decision,maker_queue_depth_at_price_usd,maker_recommended_amount_10k,max_entry,depth_1c_usd,market_volume,decision,recommended_amount_10k
half_team,Argentina first half over 0.5,NO,0.640824,0.63886,low,,,0.63,0.62,0.01,0.011655,-0.000831,-0.012795,0.04,0.00886,PASS,4026.45,0.0,0.5766,4377.81,2023.49,PASS,0.0
half_team,Argentina first half over 1.5,NO,0.925991,0.925114,low,,,0.93,0.91,0.02,0.003255,-0.007264,-0.018141,0.04,0.005114,PASS,409.96,0.0,0.8694,998.79,5999.75,PASS,0.0
btts,Both teams to score second half,YES,0.251403,0.24955,low,,,0.25,0.24,0.01,0.009375,-0.007972,-0.019825,0.04,-0.00045,PASS,2740.56,0.0,0.1917,88806.59,47117.83,PASS,0.0
half_total,Second half over 0.5,YES,0.751399,0.74955,low,,,0.75,0.74,0.01,0.009375,-0.007976,-0.019825,0.04,-0.00045,PASS,8.35,0.0,0.6888,413.77,970.96,PASS,0.0
half_total,Second half over 1.5,YES,0.40537,0.402803,low,,,0.39,0.38,0.01,0.011895,0.003475,-0.009092,0.04,0.012803,PASS,63.53,0.0,0.3415,207981.55,5393.96,PASS,0.0
half_total,Second half over 2.5,YES,0.16455,0.162768,low,,,0.16,0.15,0.01,0.00672,-0.00217,-0.013952,0.04,0.002768,PASS,2.4,0.0,0.1079,534.87,91.5,PASS,0.0
half_team,England second half over 0.5,NO,0.498636,0.496006,low,,,0.49,0.47,0.02,0.012495,-0.003859,-0.016489,0.04,0.016006,PASS,21064.29,0.0,0.4337,259.59,883.21,PASS,0.0
half_team,England second half over 1.5,NO,0.845626,0.843789,low,,,0.85,0.82,0.03,0.006375,-0.010749,-0.022586,0.04,0.013789,PASS,499.15,0.0,0.7853,301.82,669.26,PASS,0.0
half_team,Argentina second half over 0.5,NO,0.498562,0.496175,low,,,0.5,0.48,0.02,0.0125,-0.013938,-0.026325,0.04,0.006175,PASS,1174.2,0.0,0.4338,31.43,1504.25,PASS,0.0
half_team,Argentina second half over 1.5,NO,0.845575,0.843907,low,,,0.86,0.83,0.03,0.00602,-0.020445,-0.032113,0.04,0.003907,PASS,336.46,0.0,0.7854,528.34,341.26,PASS,0.0
