fixture_id,event_slug,event_title,market_id,sports_market_type,group_item_title,question,outcome_0,outcome_1,token_0,token_1,market_volume,market_liquidity,gamma_best_bid,gamma_best_ask,fee_rate,tick_size,accepting_orders,outcome_0_ask,outcome_0_bid,outcome_0_spread,outcome_0_ask_depth_best_usd,outcome_0_ask_depth_2c_usd,outcome_0_bid_depth_best_usd,outcome_1_ask,outcome_1_bid,outcome_1_spread,outcome_1_ask_depth_best_usd,outcome_1_ask_depth_2c_usd,outcome_1_bid_depth_best_usd,side,model_probability,scenario_p10,scenario_p90,ask,bid,spread,estimated_fee,central_net_edge,robust_edge,required_edge,max_entry,depth_2c_usd,external_validation_source,external_conflict_reason,decision,stake_per_10k
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-first-to-score,France vs. England - First Team to Score,2942002,soccer_first_to_score,Neither,France vs. England: Neither team to score first?,Yes,No,53909487511469903385778890039741849533103721576045814105547494969268513418889,16366202394934605632115871327259410479798404477344927866250023057352893411893,4448.225230999999,148392.2932,0.04,0.05,0.05,0.01,True,0.05,0.04,0.010000000000000002,2106.4500000000003,4806.7098000000005,306.81759999999997,0.96,0.95,0.010000000000000009,7363.622399999999,292197.3126,40022.549999999996,Yes,0.091087,0.076386,0.143443,0.05,0.04,0.01,0.002375,0.038712,0.006011,0.04,0.017,4806.71,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942101,spreads,France (-1.5),Spread: France (-1.5),France,England,107315532298789701436237363960672430085793514173994076548684716531610645605062,45930495139847278152934131136324997363117779649024847111322222331312813758735,8237.912512000003,139511.6117,0.28,0.29,0.05,0.01,True,0.29,0.28,0.009999999999999953,927.7534999999999,8883.266099999999,3352.6304000000005,0.72,0.71,0.010000000000000009,8621.0496,40835.7802,2271.3965,England,0.846993,0.833734,0.875863,0.72,0.71,0.01,0.01008,0.116913,0.085654,0.04,0.766,40835.78,Oddschecker consensus captured 2026-07-16,External sharp pricing implies a materially higher-scoring and more France-favoured match than the independent model; do not automate correlated contrarian totals or spread bets before lineups.,EXTERNAL_CONFLICT_PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942102,spreads,England (-1.5),Spread: England (-1.5),England,France,59081023737975607500628528400166797136144717449042303459139811438678429594435,99901836617520718258160716567558126987507829345477748705868933930827338302389,1016.196665,96371.4498,0.11,0.12,0.05,0.01,True,0.12,0.11,0.009999999999999995,677.4564,3147.1368,96.91,0.89,0.88,0.010000000000000009,784.09,13881.758,4968.0136,England,0.124737,0.100877,0.136817,0.12,0.11,0.01,0.00528,-0.000543,-0.042403,0.04,0.04,3147.14,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942103,spreads,France (-2.5),Spread: France (-2.5),France,England,93539866195124165694729688965730248046184193746602191832197809660776251335744,4110944043952185402670353611530369910123429462051198103756625151142374961601,614.4890730000001,87420.5619,0.13,0.14,0.05,0.01,True,0.14,0.13,0.010000000000000009,328.15160000000003,1251.3048,195.9035,0.87,0.86,0.010000000000000009,1311.0465,13037.2266,2015.7884,England,0.94594,0.938169,0.961851,0.87,0.86,0.01,0.005655,0.070285,0.044514,0.04,0.874,13037.23,Oddschecker consensus captured 2026-07-16,External sharp pricing implies a materially higher-scoring and more France-favoured match than the independent model; do not automate correlated contrarian totals or spread bets before lineups.,EXTERNAL_CONFLICT_PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942104,spreads,England (-2.5),Spread: England (-2.5),England,France,107356637311190267360783850642751181429643542425881821170401275479962938083788,55935298681955775296732900074490808079328769995256102977083593930399895110771,6156.485654,95048.82715,0.036,0.037,0.05,0.001,True,0.037,0.036,0.0010000000000000009,11.87182,891.9952299999999,4.34736,0.964,0.963,0.0010000000000000009,116.41264,11205.28108,308.98818,England,0.041907,0.028377,0.048511,0.037,0.036,0.001,0.001782,0.003125,-0.028404,0.04,0.0,892.0,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942105,spreads,France (-3.5),Spread: France (-3.5),France,England,30524596259337981680587728552664553209709035817148238328444855292983132704753,12386495218367275181874695555531833907696459056042848951693399856367821752395,12562.602664000002,100421.71125,0.045,0.046,0.05,0.001,True,0.046,0.045,0.0010000000000000009,47.213480000000004,270.12738,16.622999999999998,0.955,0.954,0.0010000000000000009,352.777,4013.4483999999998,979.1665200000001,England,0.98385,0.980249,0.990303,0.955,0.954,0.001,0.002149,0.026701,0.0051,0.04,0.918,4013.45,Oddschecker consensus captured 2026-07-16,,WATCH,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942106,spreads,England (-3.5),Spread: England (-3.5),England,France,109806483494935630291934132465846911927555746621302847455697136067770036217238,51997224566828875083197896629043134496740294018910226882849480957145518270977,5,83245.97931,0.01,0.017,0.05,0.001,True,0.017,0.01,0.007000000000000001,43.582390000000004,53.83612,14.154100000000001,0.99,0.983,0.007000000000000006,1401.2559,9119.83362,2520.08761,France,0.988057,0.985551,0.993523,0.99,0.983,0.007,0.000495,-0.002438,-0.022944,0.04,0.924,9119.83,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942107,spreads,France (-4.5),Spread: France (-4.5),France,England,85267834267532893381510494854489910146537723937553185091933756740287328487141,43139594823871088966056390711790956497528805465981182476579695643178411232867,50.5555,81619.7358,0.01,0.09,0.05,0.01,True,0.08,0.01,0.07,1.0,3.3499999999999996,3.4944,0.99,0.92,0.06999999999999995,345.9456,345.9456,11.5,England,0.99567,0.994663,0.997846,0.99,0.92,0.07,0.000495,0.005175,-0.013832,0.04,0.933,345.95,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942108,spreads,England (-4.5),Spread: England (-4.5),England,France,83858137775429766873583079293801133212676011201440037799442043787644885294823,89058207458134900758600319309526527341787020895808278123754134456905217734693,604.9906,80314.5721,0.004,0.01,0.05,0.001,True,0.01,0.004,0.006,9.0956,18.271369999999997,3.21812,0.996,0.99,0.006000000000000005,801.31188,3141.83968,900.4644,France,0.99701,0.996269,0.998494,0.996,0.99,0.006,0.000199,0.000811,-0.017931,0.04,0.935,3141.84,Oddschecker consensus captured 2026-07-16,,PASS,0
fifwc-fra-eng-2026-07-18,fifwc-fra-eng-2026-07-18-more-markets,France vs. England - More Markets,2942109,spreads,France (-5.5),Spread: France (-5.5),France,England,107015951727796682676788885254080516570237213402306304530045294301833891644659,9446245787433246498335064310287294029330042203205887085004523959288003776213,961.4111580000001,88678.07343,0.004,0.01,0.05,0.001,True,0.01,0.004,0.006,19.0279,31.11151,2.041,0.996,0.99,0.006000000000000005,508.209,13104.05952,1883.7621,England,0.998953,0.998594,0.999574,0.996,0.99,0.006,0.000199,0.002754,-0.015605,0.04,0.937,13104.06,Oddschecker consensus captured 2026-07-16,,PASS,0
